'Time','II','AVR','V','RESP','PLETH','ABP','CVP','UAP'
'[14:03:59.880]',0.130,0.665,0.605,0.040,2.655,62.130,37.004,110.876
'[14:03:59.888]',0.255,0.625,0.535,0.037,2.587,61.504,37.004,110.927
'[14:03:59.896]',0.325,0.600,0.520,0.033,2.512,60.918,37.004,110.927
'[14:03:59.904]',0.355,0.585,0.510,0.030,2.434,60.371,37.004,110.927
'[14:03:59.912]',0.370,0.585,0.515,0.026,2.362,59.785,37.004,110.927
'[14:03:59.920]',0.375,0.585,0.505,0.023,2.292,59.316,37.004,110.927
'[14:03:59.928]',0.390,0.570,0.510,0.020,2.217,58.847,37.004,110.927
'[14:03:59.936]',0.390,0.580,0.505,0.018,2.141,58.417,37.004,110.927
'[14:03:59.944]',0.395,0.570,0.500,0.016,2.066,57.909,37.004,110.927
'[14:03:59.952]',0.400,0.565,0.515,0.013,1.996,57.480,37.004,110.927
'[14:03:59.960]',0.400,0.575,0.505,0.011,1.932,57.050,37.004,110.876
'[14:03:59.968]',0.410,0.560,0.515,0.008,1.873,56.542,37.004,110.876
'[14:03:59.976]',0.400,0.560,0.510,0.006,1.822,56.190,37.004,110.876
'[14:03:59.984]',0.410,0.560,0.520,0.004,1.778,55.799,37.004,110.876
'[14:03:59.992]',0.415,0.560,0.520,0.002,1.740,55.409,37.004,110.876
'[14:04:00.000]',0.420,0.550,0.520,0.000,1.708,55.057,37.004,110.876
'[14:04:00.008]',0.415,0.555,0.515,-0.002,1.683,54.666,37.004,110.876
'[14:04:00.016]',0.435,0.540,0.525,-0.004,1.665,54.354,37.004,110.876
'[14:04:00.024]',0.435,0.540,0.520,-0.005,1.647,54.041,37.004,110.876
'[14:04:00.032]',0.445,0.535,0.525,-0.006,1.630,53.807,37.004,110.876
'[14:04:00.040]',0.445,0.540,0.520,-0.007,1.613,53.494,37.004,110.876
'[14:04:00.048]',0.470,0.520,0.535,-0.009,1.596,53.103,37.004,110.876
'[14:04:00.056]',0.475,0.515,0.530,-0.010,1.580,52.751,37.004,110.825
'[14:04:00.064]',0.495,0.495,0.535,-0.012,1.562,52.478,37.004,110.876
'[14:04:00.072]',0.510,0.495,0.530,-0.013,1.544,52.791,37.004,110.876
'[14:04:00.080]',0.515,0.495,0.540,-0.015,1.527,54.236,37.004,110.927
'[14:04:00.088]',0.515,0.495,0.535,-0.016,1.508,57.753,37.004,110.927
'[14:04:00.096]',0.535,0.485,0.545,-0.017,1.490,63.810,37.004,110.876
'[14:04:00.104]',0.545,0.475,0.540,-0.019,1.470,71.976,37.004,110.876
'[14:04:00.112]',0.555,0.480,0.550,-0.021,1.455,80.573,37.004,110.876
'[14:04:00.120]',0.560,0.465,0.545,-0.022,1.440,87.372,37.004,110.825
'[14:04:00.128]',0.550,0.470,0.555,-0.024,1.422,91.748,37.004,110.825
'[14:04:00.136]',0.550,0.465,0.545,-0.026,1.402,94.484,37.004,110.825
'[14:04:00.144]',0.545,0.470,0.545,-0.029,1.381,97.180,37.004,110.825
'[14:04:00.152]',0.540,0.465,0.540,-0.031,1.360,100.697,37.004,110.825
'[14:04:00.160]',0.530,0.465,0.540,-0.033,1.337,104.761,37.004,110.825
'[14:04:00.168]',0.515,0.470,0.545,-0.035,1.315,108.512,37.004,110.825
'[14:04:00.176]',0.500,0.485,0.530,-0.038,1.292,111.247,37.004,110.876
'[14:04:00.184]',0.495,0.490,0.535,-0.040,1.271,113.123,37.004,110.876
'[14:04:00.192]',0.490,0.490,0.525,-0.043,1.250,114.295,37.004,110.927
'[14:04:00.200]',0.470,0.495,0.535,-0.045,1.230,115.389,37.004,110.876
'[14:04:00.208]',0.465,0.505,0.525,-0.047,1.216,116.366,37.004,110.876
'[14:04:00.216]',0.465,0.505,0.535,-0.050,1.204,117.226,37.004,110.876
'[14:04:00.224]',0.455,0.510,0.535,-0.052,1.190,117.812,37.004,110.876
'[14:04:00.232]',0.450,0.505,0.530,-0.055,1.173,117.929,37.004,110.876
'[14:04:00.240]',0.450,0.505,0.525,-0.058,1.156,117.616,37.004,110.876
'[14:04:00.248]',0.455,0.500,0.540,-0.061,1.140,117.108,37.004,110.876
'[14:04:00.256]',0.450,0.515,0.535,-0.064,1.125,116.483,37.004,110.876
'[14:04:00.264]',0.460,0.505,0.540,-0.067,1.111,115.741,37.004,110.876
'[14:04:00.272]',0.460,0.505,0.535,-0.069,1.099,114.881,37.004,110.876
'[14:04:00.280]',0.470,0.490,0.540,-0.071,1.086,113.826,37.004,110.876
'[14:04:00.288]',0.465,0.505,0.530,-0.073,1.073,112.419,37.004,110.876
'[14:04:00.296]',0.460,0.510,0.540,-0.074,1.062,110.856,37.004,110.876
'[14:04:00.304]',0.470,0.495,0.530,-0.074,1.048,109.176,37.004,110.876
'[14:04:00.312]',0.480,0.490,0.540,-0.075,1.039,107.300,37.004,110.876
'[14:04:00.320]',0.470,0.495,0.535,-0.075,1.032,105.229,37.004,110.876
'[14:04:00.328]',0.465,0.505,0.540,-0.075,1.022,102.924,37.004,110.876
'[14:04:00.336]',0.470,0.495,0.525,-0.075,1.017,100.306,37.004,110.876
'[14:04:00.344]',0.470,0.505,0.530,-0.074,1.022,97.297,37.004,110.876
'[14:04:00.352]',0.470,0.500,0.535,-0.074,1.045,93.937,37.004,110.876
'[14:04:00.360]',0.470,0.495,0.530,-0.073,1.097,90.381,37.004,110.876
'[14:04:00.368]',0.470,0.490,0.540,-0.073,1.182,86.669,37.004,110.927
'[14:04:00.376]',0.460,0.505,0.530,-0.072,1.303,83.113,37.004,110.876
'[14:04:00.384]',0.455,0.510,0.535,-0.071,1.457,79.987,37.004,110.876
'[14:04:00.392]',0.465,0.510,0.530,-0.070,1.636,77.447,37.004,110.876
'[14:04:00.400]',0.460,0.505,0.525,-0.069,1.827,75.493,37.004,110.876
'[14:04:00.408]',0.470,0.500,0.530,-0.068,1.995,74.047,37.004,110.876
'[14:04:00.416]',0.475,0.495,0.540,-0.067,2.145,72.992,37.004,110.876
'[14:04:00.424]',0.490,0.490,0.535,-0.067,2.300,72.172,37.004,110.876
'[14:04:00.432]',0.505,0.475,0.550,-0.066,2.445,71.508,37.004,110.876
'[14:04:00.440]',0.515,0.470,0.540,-0.064,2.572,70.882,37.004,110.876
'[14:04:00.448]',0.520,0.465,0.550,-0.062,2.680,70.413,37.004,110.876
'[14:04:00.456]',0.490,0.480,0.550,-0.060,2.770,70.101,37.004,110.876
'[14:04:00.464]',0.470,0.490,0.565,-0.059,2.845,69.945,37.004,110.927
'[14:04:00.472]',0.470,0.495,0.555,-0.057,2.906,69.749,37.004,110.876
'[14:04:00.480]',0.470,0.490,0.545,-0.056,2.955,69.554,37.004,110.876
'[14:04:00.488]',0.470,0.485,0.535,-0.054,2.993,69.358,37.004,110.876
'[14:04:00.496]',0.460,0.490,0.525,-0.053,3.022,69.163,37.004,110.876
'[14:04:00.504]',0.450,0.495,0.505,-0.052,3.044,69.007,37.004,110.876
'[14:04:00.512]',0.445,0.515,0.515,-0.051,3.053,68.694,37.004,110.876
'[14:04:00.520]',0.445,0.515,0.510,-0.050,3.053,68.382,37.004,110.876
'[14:04:00.528]',0.435,0.515,0.515,-0.049,3.051,67.991,37.004,110.876
'[14:04:00.536]',0.425,0.530,0.500,-0.048,3.045,67.561,37.004,110.927
'[14:04:00.544]',0.420,0.525,0.500,-0.047,3.034,67.131,37.004,110.927
'[14:04:00.552]',0.430,0.520,0.500,-0.046,3.018,66.623,37.004,110.927
'[14:04:00.560]',0.430,0.525,0.505,-0.045,2.995,66.037,37.004,110.927
'[14:04:00.568]',0.450,0.515,0.510,-0.044,2.967,65.490,37.004,110.927
'[14:04:00.576]',0.560,0.475,0.520,-0.043,2.933,64.943,37.004,110.927
'[14:04:00.584]',0.870,0.280,0.495,-0.042,2.893,64.357,37.004,110.927
'[14:04:00.592]',1.220,-0.015,0.480,-0.041,2.848,63.810,37.004,110.927
'[14:04:00.600]',1.295,-0.215,0.485,-0.040,2.794,63.185,37.004,110.927
'[14:04:00.608]',0.965,-0.220,0.450,-0.040,2.740,62.481,37.004,110.876
'[14:04:00.616]',0.215,0.425,0.700,-0.039,2.682,61.817,37.004,110.876
'[14:04:00.624]',-0.040,0.690,0.740,-0.038,2.615,61.114,37.004,110.876
'[14:04:00.632]',0.065,0.705,0.620,-0.037,2.540,60.488,37.004,110.927
'[14:04:00.640]',0.215,0.640,0.550,-0.037,2.459,59.863,37.004,110.876
'[14:04:00.648]',0.315,0.595,0.510,-0.036,2.374,59.316,37.004,110.876
'[14:04:00.656]',0.360,0.585,0.495,-0.036,2.288,58.730,37.004,110.825
'[14:04:00.664]',0.375,0.575,0.500,-0.035,2.203,58.183,37.004,110.876
'[14:04:00.672]',0.375,0.585,0.490,-0.034,2.121,57.675,37.004,110.876
'[14:04:00.680]',0.390,0.575,0.495,-0.034,2.043,57.245,37.004,110.876
'[14:04:00.688]',0.400,0.570,0.485,-0.033,1.970,56.815,37.004,110.927
'[14:04:00.696]',0.400,0.575,0.490,-0.033,1.903,56.346,37.004,110.927
'[14:04:00.704]',0.405,0.560,0.480,-0.033,1.845,55.995,37.004,110.927
'[14:04:00.712]',0.410,0.560,0.490,-0.032,1.798,55.565,37.004,110.927
'[14:04:00.720]',0.405,0.560,0.480,-0.032,1.760,55.174,37.004,110.927
'[14:04:00.728]',0.410,0.560,0.485,-0.031,1.722,54.744,37.004,110.876
'[14:04:00.736]',0.405,0.565,0.475,-0.031,1.689,54.354,37.004,110.876
'[14:04:00.744]',0.415,0.560,0.485,-0.030,1.660,54.041,37.004,110.876
'[14:04:00.752]',0.420,0.555,0.485,-0.030,1.634,53.728,37.004,110.927
'[14:04:00.760]',0.425,0.540,0.495,-0.029,1.612,53.416,37.004,110.927
'[14:04:00.768]',0.435,0.535,0.490,-0.029,1.592,53.181,37.004,110.927
'[14:04:00.776]',0.435,0.540,0.495,-0.028,1.573,52.869,37.004,110.927
'[14:04:00.784]',0.445,0.530,0.495,-0.028,1.554,52.595,37.004,110.927
'[14:04:00.792]',0.445,0.535,0.495,-0.028,1.537,52.244,37.004,110.927
'[14:04:00.800]',0.450,0.530,0.500,-0.028,1.518,51.931,37.004,110.927
'[14:04:00.808]',0.470,0.515,0.495,-0.029,1.503,51.618,37.004,110.927
'[14:04:00.816]',0.475,0.515,0.500,-0.029,1.491,51.384,37.004,110.927
'[14:04:00.824]',0.490,0.510,0.495,-0.029,1.475,51.384,37.004,110.927
'[14:04:00.832]',0.505,0.495,0.510,-0.029,1.457,52.126,37.004,110.927
'[14:04:00.840]',0.520,0.490,0.505,-0.029,1.438,54.432,37.004,110.927
'[14:04:00.848]',0.525,0.490,0.520,-0.029,1.416,59.121,37.004,110.927
'[14:04:00.856]',0.535,0.485,0.520,-0.030,1.396,66.350,37.004,110.927
'[14:04:00.864]',0.530,0.480,0.525,-0.030,1.374,75.102,37.004,110.927
'[14:04:00.872]',0.540,0.475,0.525,-0.031,1.353,83.074,37.004,110.927
'[14:04:00.880]',0.545,0.470,0.530,-0.031,1.331,88.622,37.004,110.927
'[14:04:00.888]',0.540,0.470,0.520,-0.032,1.310,91.866,37.004,110.927
'[14:04:00.896]',0.545,0.465,0.525,-0.032,1.287,94.367,37.004,110.876
'[14:04:00.904]',0.530,0.470,0.520,-0.033,1.264,97.375,37.004,110.876
'[14:04:00.912]',0.525,0.470,0.520,-0.033,1.246,101.244,37.004,110.876
'[14:04:00.920]',0.515,0.475,0.510,-0.033,1.232,105.190,37.004,110.927
'[14:04:00.928]',0.510,0.485,0.515,-0.034,1.213,108.512,37.004,110.927
'[14:04:00.936]',0.500,0.480,0.500,-0.035,1.194,110.817,37.004,110.927
'[14:04:00.944]',0.495,0.490,0.505,-0.037,1.174,112.263,37.004,110.927
'[14:04:00.952]',0.485,0.490,0.500,-0.038,1.155,113.318,37.004,110.927
'[14:04:00.960]',0.480,0.495,0.510,-0.040,1.138,114.295,37.004,110.927
'[14:04:00.968]',0.465,0.505,0.500,-0.042,1.120,115.233,37.004,110.927
'[14:04:00.976]',0.460,0.510,0.505,-0.044,1.105,115.936,37.004,110.927
'[14:04:00.984]',0.470,0.500,0.510,-0.046,1.089,116.170,37.004,110.927
'[14:04:00.992]',0.460,0.510,0.495,-0.048,1.074,116.131,37.004,110.927
'[14:04:01.000]',0.465,0.505,0.505,-0.050,1.060,115.819,37.004,110.927
'[14:04:01.008]',0.460,0.510,0.500,-0.051,1.051,115.311,37.004,110.927
'[14:04:01.016]',0.465,0.500,0.510,-0.053,1.044,114.607,37.004,110.876
'[14:04:01.024]',0.460,0.505,0.500,-0.054,1.034,113.826,37.004,110.927
'[14:04:01.032]',0.470,0.500,0.510,-0.056,1.023,112.810,37.004,110.927
'[14:04:01.040]',0.470,0.505,0.505,-0.057,1.014,111.560,37.004,110.927
'[14:04:01.048]',0.470,0.505,0.515,-0.058,1.004,110.114,37.004,110.927
'[14:04:01.056]',0.470,0.500,0.500,-0.058,0.994,108.512,37.004,110.927
'[14:04:01.064]',0.475,0.495,0.515,-0.059,0.983,106.675,37.004,110.927
'[14:04:01.072]',0.480,0.500,0.505,-0.059,0.973,104.682,37.004,110.927
'[14:04:01.080]',0.475,0.495,0.515,-0.059,0.961,102.377,37.004,110.927
'[14:04:01.088]',0.480,0.500,0.505,-0.059,0.953,99.759,37.004,110.927
'[14:04:01.096]',0.470,0.505,0.510,-0.058,0.955,96.750,37.004,110.927
'[14:04:01.104]',0.470,0.495,0.500,-0.057,0.970,93.351,37.004,110.927
'[14:04:01.112]',0.465,0.505,0.510,-0.056,1.003,89.795,37.004,110.927
'[14:04:01.120]',0.470,0.510,0.495,-0.053,1.064,86.161,37.004,110.927
'[14:04:01.128]',0.470,0.495,0.510,-0.051,1.158,82.683,37.004,110.927
'[14:04:01.136]',0.470,0.505,0.500,-0.049,1.289,79.479,37.004,110.927
'[14:04:01.144]',0.465,0.510,0.505,-0.047,1.452,76.939,37.004,110.927
'[14:04:01.152]',0.455,0.505,0.500,-0.045,1.636,74.946,37.004,110.927
'[14:04:01.160]',0.455,0.515,0.505,-0.043,1.832,73.500,37.004,110.927
'[14:04:01.168]',0.465,0.500,0.515,-0.041,2.026,72.445,37.004,110.927
'[14:04:01.176]',0.475,0.490,0.510,-0.039,2.210,71.664,37.004,110.927
'[14:04:01.184]',0.500,0.480,0.520,-0.037,2.375,71.039,37.004,110.927
'[14:04:01.192]',0.495,0.485,0.525,-0.035,2.518,70.492,37.004,110.927
'[14:04:01.200]',0.505,0.480,0.530,-0.033,2.637,69.945,37.004,110.927
'[14:04:01.208]',0.495,0.490,0.525,-0.031,2.724,69.632,37.004,110.927
'[14:04:01.216]',0.480,0.490,0.540,-0.028,2.789,69.358,37.004,110.927
'[14:04:01.224]',0.460,0.505,0.540,-0.026,2.848,69.241,37.004,110.927
'[14:04:01.232]',0.450,0.510,0.535,-0.024,2.901,69.046,37.004,110.927
'[14:04:01.240]',0.460,0.500,0.520,-0.022,2.944,68.929,37.004,110.927
'[14:04:01.248]',0.455,0.505,0.515,-0.020,2.978,68.694,37.004,110.927
'[14:04:01.256]',0.445,0.505,0.495,-0.019,3.005,68.499,37.004,110.927
'[14:04:01.264]',0.440,0.510,0.490,-0.018,3.023,68.225,37.004,110.927
'[14:04:01.272]',0.425,0.525,0.485,-0.017,3.033,67.913,37.004,110.971
'[14:04:01.280]',0.420,0.530,0.490,-0.016,3.036,67.561,37.004,110.971
'[14:04:01.288]',0.425,0.535,0.485,-0.015,3.033,67.131,37.004,110.927
'[14:04:01.296]',0.420,0.535,0.485,-0.014,3.022,66.662,37.004,110.927
'[14:04:01.304]',0.420,0.535,0.480,-0.013,3.004,66.232,37.004,110.927
'[14:04:01.312]',0.420,0.530,0.485,-0.013,2.980,65.724,37.004,110.927
'[14:04:01.320]',0.430,0.530,0.480,-0.012,2.953,65.177,37.004,110.927
'[14:04:01.328]',0.495,0.510,0.515,-0.012,2.920,64.630,37.004,110.927
'[14:04:01.336]',0.665,0.415,0.495,-0.011,2.881,63.927,37.004,110.927
'[14:04:01.344]',1.055,0.140,0.460,-0.011,2.836,63.302,37.004,110.927
'[14:04:01.352]',1.270,-0.120,0.445,-0.010,2.785,62.677,37.004,110.971
'[14:04:01.360]',1.185,-0.230,0.420,-0.009,2.728,62.051,37.004,110.971
'[14:04:01.368]',0.580,0.165,0.555,-0.008,2.665,61.504,37.004,110.971
'[14:04:01.376]',0.010,0.605,0.740,-0.007,2.594,60.918,37.004,110.971
'[14:04:01.384]',-0.045,0.725,0.655,-0.006,2.518,60.371,37.004,110.927
'[14:04:01.392]',0.130,0.685,0.580,-0.005,2.438,59.746,37.004,110.927
'[14:04:01.400]',0.260,0.625,0.510,-0.004,2.355,59.160,37.004,110.927
'[14:04:01.408]',0.330,0.600,0.485,-0.003,2.281,58.535,37.004,110.927
'[14:04:01.416]',0.370,0.580,0.480,-0.002,2.210,57.988,37.004,110.927
'[14:04:01.424]',0.375,0.585,0.475,-0.002,2.134,57.480,37.004,110.927
'[14:04:01.432]',0.375,0.585,0.470,-0.001,2.058,56.972,37.004,110.927
'[14:04:01.440]',0.380,0.585,0.470,-0.001,1.985,56.542,37.004,110.971
'[14:04:01.448]',0.395,0.570,0.470,-0.000,1.919,56.190,37.004,110.927
'[14:04:01.456]',0.390,0.580,0.460,-0.000,1.858,55.721,37.004,110.927
'[14:04:01.464]',0.400,0.565,0.470,0.000,1.804,55.370,37.004,110.927
'[14:04:01.472]',0.400,0.565,0.470,0.000,1.758,54.979,37.004,110.927
'[14:04:01.480]',0.415,0.555,0.485,0.000,1.717,54.627,37.004,110.927
'[14:04:01.488]',0.420,0.560,0.475,0.000,1.683,54.236,37.004,110.927
'[14:04:01.496]',0.405,0.565,0.480,0.000,1.654,53.846,37.004,110.927
'[14:04:01.504]',0.410,0.560,0.470,0.000,1.632,53.533,37.004,110.927
'[14:04:01.512]',0.420,0.555,0.485,0.000,1.615,53.220,37.004,110.927
'[14:04:01.520]',0.420,0.555,0.480,0.000,1.596,52.986,37.004,110.927
'[14:04:01.528]',0.435,0.545,0.490,0.000,1.578,52.751,37.004,110.971
'[14:04:01.536]',0.445,0.540,0.490,0.000,1.560,52.439,37.004,110.927
'[14:04:01.544]',0.445,0.535,0.495,0.000,1.543,52.126,37.004,110.927
'[14:04:01.552]',0.445,0.535,0.490,0.000,1.526,51.814,37.004,110.927
'[14:04:01.560]',0.455,0.530,0.495,0.000,1.509,51.423,37.004,110.927
'[14:04:01.568]',0.470,0.515,0.495,0.000,1.493,51.110,37.004,110.927
'[14:04:01.576]',0.490,0.510,0.500,0.000,1.476,50.993,37.004,110.927
'[14:04:01.584]',0.505,0.505,0.505,-0.000,1.458,51.228,37.004,110.927
'[14:04:01.592]',0.510,0.515,0.500,-0.001,1.441,52.439,37.004,110.927
'[14:04:01.600]',0.525,0.495,0.505,-0.002,1.421,55.409,37.004,110.927
'[14:04:01.608]',0.530,0.490,0.505,-0.003,1.406,60.918,37.004,110.927
'[14:04:01.616]',0.540,0.485,0.515,-0.003,1.392,68.811,37.004,110.971
'[14:04:01.624]',0.540,0.485,0.510,-0.004,1.373,77.447,37.004,110.971
'[14:04:01.632]',0.540,0.480,0.520,-0.004,1.353,84.676,37.004,110.971
'[14:04:01.640]',0.545,0.470,0.520,-0.005,1.340,89.443,37.004,110.971
'[14:04:01.648]',0.555,0.465,0.530,-0.006,1.331,92.374,37.004,110.971
'[14:04:01.656]',0.540,0.470,0.520,-0.007,1.317,94.992,37.004,110.971
'[14:04:01.664]',0.535,0.470,0.515,-0.010,1.299,98.313,37.004,110.927
'[14:04:01.672]',0.520,0.480,0.500,-0.012,1.281,102.299,37.004,110.927
'[14:04:01.680]',0.515,0.485,0.505,-0.015,1.261,106.167,37.004,110.927
'[14:04:01.688]',0.500,0.490,0.495,-0.017,1.242,109.176,37.004,110.927
'[14:04:01.696]',0.485,0.495,0.495,-0.020,1.223,111.169,37.004,110.927
'[14:04:01.704]',0.480,0.500,0.495,-0.023,1.209,112.419,37.004,110.927
'[14:04:01.712]',0.470,0.505,0.495,-0.026,1.199,113.357,37.004,110.971
'[14:04:01.720]',0.470,0.510,0.495,-0.028,1.186,114.256,37.004,110.971
'[14:04:01.728]',0.460,0.515,0.495,-0.031,1.171,115.076,37.004,110.971
'[14:04:01.736]',0.465,0.510,0.495,-0.033,1.156,115.623,37.004,110.971
'[14:04:01.744]',0.450,0.515,0.500,-0.035,1.142,115.819,37.004,110.971
'[14:04:01.752]',0.460,0.510,0.500,-0.037,1.128,115.623,37.004,110.927
'[14:04:01.760]',0.450,0.515,0.505,-0.039,1.115,115.115,37.004,110.927
'[14:04:01.768]',0.455,0.515,0.500,-0.041,1.104,114.451,37.004,110.927
'[14:04:01.776]',0.465,0.500,0.510,-0.043,1.093,113.631,37.004,110.927
'[14:04:01.784]',0.470,0.505,0.500,-0.044,1.082,112.732,37.004,110.927
'[14:04:01.792]',0.470,0.500,0.505,-0.045,1.072,111.638,37.004,110.971
'[14:04:01.800]',0.470,0.495,0.500,-0.045,1.064,110.387,37.004,110.971
'[14:04:01.808]',0.475,0.490,0.505,-0.045,1.059,108.863,37.004,110.971
'[14:04:01.816]',0.470,0.500,0.510,-0.045,1.057,107.105,37.004,110.927
'[14:04:01.824]',0.470,0.505,0.500,-0.044,1.051,105.190,37.004,110.927
'[14:04:01.832]',0.470,0.495,0.505,-0.043,1.042,103.002,37.004,110.927
'[14:04:01.840]',0.470,0.500,0.495,-0.042,1.032,100.501,37.004,110.927
'[14:04:01.848]',0.475,0.495,0.510,-0.040,1.025,97.688,37.004,110.927
'[14:04:01.856]',0.475,0.495,0.500,-0.039,1.028,94.484,37.004,110.971
'[14:04:01.864]',0.470,0.500,0.505,-0.037,1.048,91.045,37.004,110.971
'[14:04:01.872]',0.470,0.505,0.495,-0.036,1.093,87.411,37.004,110.971
'[14:04:01.880]',0.465,0.505,0.500,-0.034,1.169,83.816,37.004,110.971
'[14:04:01.888]',0.470,0.510,0.495,-0.033,1.279,80.573,37.004,110.971
'[14:04:01.896]',0.470,0.500,0.505,-0.032,1.420,77.877,37.004,110.971
'[14:04:01.904]',0.465,0.515,0.495,-0.030,1.562,75.806,37.004,110.971
'[14:04:01.912]',0.465,0.505,0.505,-0.029,1.707,74.243,37.004,110.927
'[14:04:01.920]',0.470,0.510,0.500,-0.027,1.875,73.110,37.004,110.927
'[14:04:01.928]',0.465,0.495,0.515,-0.025,2.048,72.172,37.004,110.927
'[14:04:01.936]',0.485,0.490,0.515,-0.023,2.213,71.351,37.004,110.927
'[14:04:01.944]',0.500,0.475,0.525,-0.021,2.362,70.687,37.004,110.927
'[14:04:01.952]',0.510,0.475,0.525,-0.019,2.491,70.101,37.004,110.927
'[14:04:01.960]',0.510,0.470,0.530,-0.017,2.599,69.749,37.004,110.927
'[14:04:01.968]',0.490,0.485,0.540,-0.015,2.689,69.476,37.004,110.927
'[14:04:01.976]',0.470,0.490,0.540,-0.013,2.762,69.319,37.004,110.927
'[14:04:01.984]',0.470,0.495,0.535,-0.011,2.821,69.124,37.004,110.971
'[14:04:01.992]',0.460,0.505,0.530,-0.009,2.868,68.929,37.004,110.927
'[14:04:02.000]',0.465,0.490,0.515,-0.007,2.904,68.694,37.004,110.927
'[14:04:02.008]',0.455,0.500,0.510,-0.005,2.926,68.421,37.004,110.927
'[14:04:02.016]',0.445,0.495,0.495,-0.004,2.937,68.186,37.004,110.927
'[14:04:02.024]',0.425,0.525,0.495,-0.002,2.946,67.913,37.004,110.927
'[14:04:02.032]',0.430,0.520,0.495,-0.001,2.951,67.600,37.004,110.971
'[14:04:02.040]',0.420,0.530,0.490,0.000,2.950,67.248,37.004,110.971
'[14:04:02.048]',0.420,0.530,0.485,0.002,2.944,66.819,37.004,110.971
'[14:04:02.056]',0.425,0.525,0.480,0.003,2.932,66.311,37.004,110.927
'[14:04:02.064]',0.420,0.530,0.485,0.004,2.913,65.881,37.004,110.927
'[14:04:02.072]',0.420,0.535,0.480,0.006,2.890,65.373,37.004,110.927
'[14:04:02.080]',0.440,0.530,0.490,0.007,2.861,64.787,37.004,110.927
'[14:04:02.088]',0.560,0.480,0.505,0.008,2.827,64.240,37.004,110.971
'[14:04:02.096]',0.835,0.300,0.480,0.008,2.786,63.614,37.004,110.971
'[14:04:02.104]',1.200,0.000,0.445,0.009,2.743,62.989,37.004,110.971
'[14:04:02.112]',1.275,-0.215,0.435,0.010,2.696,62.364,37.004,110.971
'[14:04:02.120]',0.985,-0.225,0.410,0.010,2.641,61.739,37.004,110.971
'[14:04:02.128]',0.220,0.425,0.670,0.011,2.580,61.192,37.004,110.971
'[14:04:02.136]',-0.040,0.690,0.735,0.011,2.512,60.567,37.004,110.971
'[14:04:02.144]',0.045,0.720,0.625,0.011,2.439,59.980,37.004,110.971
'[14:04:02.152]',0.200,0.655,0.545,0.012,2.363,59.355,37.004,110.971
'[14:04:02.160]',0.310,0.600,0.500,0.012,2.284,58.808,37.004,110.971
'[14:04:02.168]',0.350,0.590,0.480,0.012,2.206,58.300,37.004,110.971
'[14:04:02.176]',0.360,0.590,0.475,0.012,2.130,57.753,37.004,110.971
'[14:04:02.184]',0.375,0.585,0.480,0.012,2.057,57.245,37.004,110.971
'[14:04:02.192]',0.385,0.575,0.470,0.012,1.988,56.737,37.004,110.971
'[14:04:02.200]',0.400,0.565,0.475,0.012,1.926,56.307,37.004,110.971
'[14:04:02.208]',0.400,0.570,0.470,0.012,1.876,55.917,37.004,110.971
'[14:04:02.216]',0.405,0.565,0.465,0.012,1.835,55.565,37.004,110.927
'[14:04:02.224]',0.405,0.560,0.470,0.011,1.795,55.174,37.004,110.927
'[14:04:02.232]',0.405,0.565,0.475,0.011,1.758,54.783,37.004,110.927
'[14:04:02.240]',0.410,0.560,0.470,0.010,1.725,54.432,37.004,110.927
'[14:04:02.248]',0.400,0.565,0.475,0.009,1.698,54.041,37.004,110.971
'[14:04:02.256]',0.410,0.560,0.470,0.008,1.674,53.689,37.004,110.971
'[14:04:02.264]',0.415,0.555,0.480,0.007,1.653,53.377,37.004,110.971
'[14:04:02.272]',0.420,0.550,0.470,0.006,1.635,53.064,37.004,110.971
'[14:04:02.280]',0.420,0.545,0.485,0.006,1.619,52.869,37.004,110.971
'[14:04:02.288]',0.425,0.555,0.475,0.005,1.603,52.595,37.004,110.971
'[14:04:02.296]',0.435,0.535,0.485,0.004,1.587,52.283,37.004,110.971
'[14:04:02.304]',0.445,0.530,0.485,0.002,1.573,52.009,37.004,110.971
'[14:04:02.312]',0.445,0.535,0.495,0.001,1.561,51.696,37.004,110.971
'[14:04:02.320]',0.460,0.530,0.490,0.000,1.545,51.384,37.004,110.971
'[14:04:02.328]',0.470,0.520,0.495,-0.001,1.529,51.110,37.004,110.971
'[14:04:02.336]',0.480,0.510,0.495,-0.001,1.512,51.110,37.004,110.971
'[14:04:02.344]',0.495,0.500,0.505,-0.002,1.496,51.814,37.004,110.971
'[14:04:02.352]',0.505,0.500,0.500,-0.002,1.479,53.728,37.004,110.971
'[14:04:02.360]',0.515,0.490,0.510,-0.003,1.461,57.792,37.004,110.971
'[14:04:02.368]',0.520,0.490,0.505,-0.003,1.443,64.435,37.004,110.971
'[14:04:02.376]',0.535,0.475,0.515,-0.004,1.423,72.797,37.004,110.971
'[14:04:02.384]',0.545,0.470,0.520,-0.005,1.404,80.925,37.004,110.971
'[14:04:02.392]',0.540,0.485,0.515,-0.005,1.383,86.981,37.004,110.971
'[14:04:02.400]',0.535,0.480,0.510,-0.006,1.363,90.693,37.004,110.971
'[14:04:02.408]',0.540,0.475,0.515,-0.007,1.347,93.194,37.004,110.971
'[14:04:02.416]',0.530,0.480,0.505,-0.009,1.333,96.008,37.004,110.971
