'Time','II','PLETH','I','ABP','III'
'[05:38:34.520]',0.024,0.345,-,59.375,-
'[05:38:34.528]',0.008,0.314,-,59.375,-
'[05:38:34.536]',0.000,0.290,-,58.750,-
'[05:38:34.544]',-0.008,0.267,-,59.375,-
'[05:38:34.552]',-0.024,0.247,-,60.000,-
'[05:38:34.560]',-0.031,0.235,-,62.500,-
'[05:38:34.568]',-0.039,0.224,-,65.625,-
'[05:38:34.576]',-0.047,0.216,-,68.750,-
'[05:38:34.584]',-0.047,0.212,-,71.250,-
'[05:38:34.592]',-0.047,0.212,-,73.750,-
'[05:38:34.600]',-0.047,0.212,-,75.625,-
'[05:38:34.608]',-0.039,0.216,-,78.125,-
'[05:38:34.616]',-0.047,0.220,-,80.625,-
'[05:38:34.624]',-0.047,0.227,-,83.750,-
'[05:38:34.632]',-0.047,0.239,-,86.250,-
'[05:38:34.640]',-0.047,0.247,-,88.125,-
'[05:38:34.648]',-0.047,0.259,-,90.000,-
'[05:38:34.656]',-0.047,0.267,-,91.250,-
'[05:38:34.664]',-0.047,0.275,-,92.500,-
'[05:38:34.672]',-0.047,0.282,-,92.500,-
'[05:38:34.680]',-0.047,0.290,-,91.250,-
'[05:38:34.688]',-0.047,0.294,-,90.625,-
'[05:38:34.696]',-0.047,0.298,-,89.375,-
'[05:38:34.704]',-0.024,0.302,-,87.500,-
'[05:38:34.712]',-0.008,0.302,-,85.000,-
'[05:38:34.720]',0.008,0.302,-,83.125,-
'[05:38:34.728]',0.039,0.298,-,80.625,-
'[05:38:34.736]',0.055,0.294,-,77.500,-
'[05:38:34.744]',0.071,0.290,-,75.000,-
'[05:38:34.752]',0.079,0.286,-,72.500,-
'[05:38:34.760]',0.039,0.282,-,70.625,-
'[05:38:34.768]',-0.016,0.278,-,68.750,-
'[05:38:34.776]',-0.055,0.275,-,67.500,-
'[05:38:34.784]',-0.071,0.267,-,65.625,-
'[05:38:34.792]',-0.071,0.263,-,64.375,-
'[05:38:34.800]',-0.071,0.255,-,62.500,-
'[05:38:34.808]',-0.079,0.247,-,61.875,-
'[05:38:34.816]',-0.173,0.243,-,61.250,-
'[05:38:34.824]',-0.205,0.239,-,60.000,-
'[05:38:34.832]',0.504,0.235,-,59.375,-
'[05:38:34.840]',1.268,0.239,-,59.375,-
'[05:38:34.848]',1.268,0.251,-,59.375,-
'[05:38:34.856]',0.205,0.271,-,59.375,-
'[05:38:34.864]',-0.181,0.290,-,59.375,-
'[05:38:34.872]',-0.339,0.314,-,59.375,-
'[05:38:34.880]',-0.283,0.345,-,59.375,-
'[05:38:34.888]',-0.244,0.384,-,59.375,-
'[05:38:34.896]',-0.236,0.424,-,60.000,-
'[05:38:34.904]',-0.220,0.463,-,60.000,-
'[05:38:34.912]',-0.213,0.502,-,61.250,-
'[05:38:34.920]',-0.197,0.537,-,61.250,-
'[05:38:34.928]',-0.181,0.565,-,61.250,-
'[05:38:34.936]',-0.173,0.588,-,61.875,-
'[05:38:34.944]',-0.165,0.608,-,61.875,-
'[05:38:34.952]',-0.150,0.620,-,61.875,-
'[05:38:34.960]',-0.142,0.624,-,61.875,-
'[05:38:34.968]',-0.126,0.620,-,61.875,-
'[05:38:34.976]',-0.118,0.612,-,61.875,-
'[05:38:34.984]',-0.102,0.600,-,61.875,-
'[05:38:34.992]',-0.087,0.580,-,61.250,-
'[05:38:35.000]',-0.063,0.561,-,61.250,-
'[05:38:35.008]',-0.039,0.533,-,61.250,-
'[05:38:35.016]',-0.016,0.506,-,60.000,-
'[05:38:35.024]',0.000,0.475,-,60.000,-
'[05:38:35.032]',0.016,0.443,-,59.375,-
'[05:38:35.040]',0.031,0.412,-,58.750,-
'[05:38:35.048]',0.039,0.380,-,58.750,-
'[05:38:35.056]',0.039,0.349,-,58.125,-
'[05:38:35.064]',0.031,0.325,-,56.875,-
'[05:38:35.072]',0.016,0.302,-,56.875,-
'[05:38:35.080]',0.000,0.278,-,56.875,-
'[05:38:35.088]',-0.016,0.259,-,58.125,-
'[05:38:35.096]',-0.024,0.239,-,59.375,-
'[05:38:35.104]',-0.024,0.224,-,62.500,-
'[05:38:35.112]',-0.031,0.212,-,65.625,-
'[05:38:35.120]',-0.047,0.200,-,68.750,-
'[05:38:35.128]',-0.039,0.196,-,71.250,-
'[05:38:35.136]',-0.039,0.192,-,73.750,-
'[05:38:35.144]',-0.047,0.192,-,75.000,-
'[05:38:35.152]',-0.047,0.196,-,77.500,-
'[05:38:35.160]',-0.031,0.204,-,80.625,-
'[05:38:35.168]',-0.031,0.208,-,83.125,-
'[05:38:35.176]',-0.031,0.220,-,85.000,-
'[05:38:35.184]',-0.039,0.227,-,87.500,-
'[05:38:35.192]',-0.039,0.235,-,89.375,-
'[05:38:35.200]',-0.047,0.247,-,90.000,-
'[05:38:35.208]',-0.047,0.255,-,90.625,-
'[05:38:35.216]',-0.047,0.263,-,90.000,-
'[05:38:35.224]',-0.047,0.271,-,90.000,-
'[05:38:35.232]',-0.047,0.278,-,88.125,-
'[05:38:35.240]',-0.039,0.282,-,86.875,-
'[05:38:35.248]',-0.024,0.286,-,85.000,-
'[05:38:35.256]',-0.008,0.286,-,83.125,-
'[05:38:35.264]',0.024,0.286,-,80.625,-
'[05:38:35.272]',0.055,0.290,-,78.125,-
'[05:38:35.280]',0.071,0.286,-,75.000,-
'[05:38:35.288]',0.079,0.286,-,72.500,-
'[05:38:35.296]',0.055,0.282,-,70.625,-
'[05:38:35.304]',0.000,0.278,-,68.750,-
'[05:38:35.312]',-0.031,0.275,-,67.500,-
'[05:38:35.320]',-0.063,0.267,-,65.000,-
'[05:38:35.328]',-0.063,0.263,-,63.125,-
'[05:38:35.336]',-0.071,0.259,-,62.500,-
'[05:38:35.344]',-0.063,0.251,-,61.250,-
'[05:38:35.352]',-0.134,0.243,-,60.000,-
'[05:38:35.360]',-0.197,0.239,-,59.375,-
'[05:38:35.368]',0.252,0.239,-,58.750,-
'[05:38:35.376]',1.087,0.239,-,58.125,-
'[05:38:35.384]',1.331,0.247,-,58.125,-
'[05:38:35.392]',0.409,0.259,-,58.125,-
'[05:38:35.400]',-0.087,0.278,-,58.125,-
'[05:38:35.408]',-0.323,0.302,-,58.125,-
'[05:38:35.416]',-0.354,0.333,-,58.125,-
'[05:38:35.424]',-0.252,0.373,-,58.125,-
'[05:38:35.432]',-0.236,0.412,-,58.750,-
'[05:38:35.440]',-0.228,0.451,-,58.750,-
'[05:38:35.448]',-0.213,0.490,-,59.375,-
'[05:38:35.456]',-0.205,0.522,-,59.375,-
'[05:38:35.464]',-0.189,0.549,-,59.375,-
'[05:38:35.472]',-0.181,0.573,-,60.000,-
'[05:38:35.480]',-0.165,0.596,-,60.000,-
'[05:38:35.488]',-0.157,0.612,-,60.000,-
'[05:38:35.496]',-0.142,0.624,-,60.000,-
'[05:38:35.504]',-0.134,0.627,-,60.000,-
'[05:38:35.512]',-0.118,0.624,-,60.000,-
'[05:38:35.520]',-0.102,0.612,-,60.000,-
'[05:38:35.528]',-0.087,0.600,-,60.000,-
'[05:38:35.536]',-0.071,0.580,-,60.000,-
'[05:38:35.544]',-0.055,0.557,-,59.375,-
'[05:38:35.552]',-0.031,0.529,-,59.375,-
'[05:38:35.560]',-0.008,0.506,-,58.750,-
'[05:38:35.568]',0.008,0.478,-,58.750,-
'[05:38:35.576]',0.024,0.451,-,58.125,-
'[05:38:35.584]',0.039,0.424,-,58.125,-
'[05:38:35.592]',0.039,0.392,-,56.875,-
'[05:38:35.600]',0.039,0.361,-,56.250,-
'[05:38:35.608]',0.024,0.333,-,56.250,-
'[05:38:35.616]',0.000,0.306,-,56.250,-
'[05:38:35.624]',-0.008,0.282,-,56.250,-
'[05:38:35.632]',-0.016,0.259,-,58.750,-
'[05:38:35.640]',-0.024,0.243,-,61.250,-
'[05:38:35.648]',-0.031,0.227,-,65.000,-
'[05:38:35.656]',-0.039,0.216,-,68.125,-
'[05:38:35.664]',-0.031,0.208,-,70.625,-
'[05:38:35.672]',-0.039,0.204,-,72.500,-
'[05:38:35.680]',-0.039,0.216,-,75.000,-
'[05:38:35.688]',-0.039,0.235,-,77.500,-
'[05:38:35.696]',-0.031,0.251,-,80.000,-
'[05:38:35.704]',-0.031,0.259,-,83.125,-
'[05:38:35.712]',-0.031,0.267,-,85.000,-
'[05:38:35.720]',-0.039,0.275,-,87.500,-
'[05:38:35.728]',-0.031,0.286,-,89.375,-
'[05:38:35.736]',-0.039,0.294,-,90.000,-
'[05:38:35.744]',-0.039,0.302,-,90.625,-
'[05:38:35.752]',-0.039,0.310,-,90.625,-
'[05:38:35.760]',-0.039,0.318,-,90.000,-
'[05:38:35.768]',-0.039,0.322,-,89.375,-
'[05:38:35.776]',-0.031,0.329,-,87.500,-
'[05:38:35.784]',-0.016,0.333,-,86.250,-
'[05:38:35.792]',0.000,0.333,-,83.750,-
'[05:38:35.800]',0.024,0.337,-,81.250,-
'[05:38:35.808]',0.055,0.337,-,78.750,-
'[05:38:35.816]',0.071,0.337,-,76.875,-
'[05:38:35.824]',0.079,0.337,-,74.375,-
'[05:38:35.832]',0.063,0.333,-,71.875,-
'[05:38:35.840]',0.016,0.333,-,69.375,-
'[05:38:35.848]',-0.039,0.329,-,68.125,-
'[05:38:35.856]',-0.063,0.325,-,65.625,-
'[05:38:35.864]',-0.063,0.325,-,64.375,-
'[05:38:35.872]',-0.071,0.322,-,62.500,-
'[05:38:35.880]',-0.071,0.314,-,61.875,-
'[05:38:35.888]',-0.094,0.310,-,61.250,-
'[05:38:35.896]',-0.205,0.306,-,60.000,-
'[05:38:35.904]',0.087,0.302,-,59.375,-
'[05:38:35.912]',0.874,0.302,-,58.750,-
'[05:38:35.920]',1.291,0.306,-,58.750,-
'[05:38:35.928]',0.591,0.318,-,58.125,-
'[05:38:35.936]',0.008,0.333,-,58.125,-
'[05:38:35.944]',-0.283,0.357,-,58.125,-
'[05:38:35.952]',-0.339,0.384,-,58.125,-
'[05:38:35.960]',-0.260,0.412,-,58.750,-
'[05:38:35.968]',-0.236,0.439,-,58.750,-
'[05:38:35.976]',-0.236,0.471,-,58.750,-
'[05:38:35.984]',-0.220,0.502,-,59.375,-
'[05:38:35.992]',-0.213,0.537,-,59.375,-
'[05:38:36.000]',-0.197,0.565,-,60.000,-
'[05:38:36.008]',-0.189,0.592,-,60.000,-
'[05:38:36.016]',-0.173,0.616,-,60.000,-
'[05:38:36.024]',-0.165,0.631,-,61.250,-
'[05:38:36.032]',-0.157,0.639,-,61.250,-
'[05:38:36.040]',-0.142,0.643,-,61.250,-
'[05:38:36.048]',-0.134,0.643,-,61.250,-
'[05:38:36.056]',-0.126,0.635,-,61.250,-
'[05:38:36.064]',-0.118,0.627,-,61.250,-
'[05:38:36.072]',-0.094,0.612,-,60.000,-
'[05:38:36.080]',-0.071,0.596,-,60.000,-
'[05:38:36.088]',-0.063,0.576,-,60.000,-
'[05:38:36.096]',-0.031,0.553,-,59.375,-
'[05:38:36.104]',-0.008,0.529,-,59.375,-
'[05:38:36.112]',0.000,0.502,-,58.750,-
'[05:38:36.120]',0.016,0.475,-,58.750,-
'[05:38:36.128]',0.024,0.447,-,58.125,-
'[05:38:36.136]',0.031,0.424,-,56.875,-
'[05:38:36.144]',0.016,0.396,-,56.875,-
'[05:38:36.152]',0.000,0.373,-,56.250,-
'[05:38:36.160]',-0.016,0.353,-,56.875,-
'[05:38:36.168]',-0.024,0.337,-,59.375,-
'[05:38:36.176]',-0.031,0.322,-,61.875,-
'[05:38:36.184]',-0.039,0.310,-,65.625,-
'[05:38:36.192]',-0.039,0.298,-,69.375,-
'[05:38:36.200]',-0.031,0.290,-,71.875,-
'[05:38:36.208]',-0.039,0.282,-,74.375,-
'[05:38:36.216]',-0.039,0.278,-,76.875,-
'[05:38:36.224]',-0.039,0.278,-,78.750,-
'[05:38:36.232]',-0.039,0.278,-,81.875,-
'[05:38:36.240]',-0.039,0.282,-,84.375,-
'[05:38:36.248]',-0.031,0.286,-,87.500,-
'[05:38:36.256]',-0.039,0.294,-,90.000,-
'[05:38:36.264]',-0.031,0.302,-,91.250,-
'[05:38:36.272]',-0.039,0.310,-,92.500,-
'[05:38:36.280]',-0.031,0.318,-,93.125,-
'[05:38:36.288]',-0.031,0.325,-,93.125,-
'[05:38:36.296]',-0.047,0.333,-,92.500,-
'[05:38:36.304]',-0.047,0.337,-,91.250,-
'[05:38:36.312]',-0.031,0.345,-,90.000,-
'[05:38:36.320]',-0.016,0.349,-,88.125,-
'[05:38:36.328]',0.000,0.353,-,86.250,-
'[05:38:36.336]',0.024,0.357,-,83.750,-
'[05:38:36.344]',0.055,0.357,-,80.625,-
'[05:38:36.352]',0.063,0.357,-,78.125,-
'[05:38:36.360]',0.079,0.357,-,75.625,-
'[05:38:36.368]',0.063,0.357,-,73.750,-
'[05:38:36.376]',0.024,0.357,-,71.250,-
'[05:38:36.384]',-0.031,0.353,-,68.750,-
'[05:38:36.392]',-0.055,0.349,-,67.500,-
'[05:38:36.400]',-0.063,0.345,-,65.625,-
'[05:38:36.408]',-0.071,0.341,-,64.375,-
'[05:38:36.416]',-0.071,0.337,-,62.500,-
'[05:38:36.424]',-0.094,0.333,-,61.875,-
'[05:38:36.432]',-0.197,0.329,-,61.250,-
'[05:38:36.440]',0.024,0.329,-,60.000,-
'[05:38:36.448]',0.819,0.329,-,59.375,-
'[05:38:36.456]',1.339,0.333,-,58.750,-
'[05:38:36.464]',0.693,0.345,-,58.750,-
'[05:38:36.472]',0.055,0.361,-,58.750,-
'[05:38:36.480]',-0.268,0.380,-,58.750,-
'[05:38:36.488]',-0.339,0.412,-,58.750,-
'[05:38:36.496]',-0.260,0.443,-,58.750,-
'[05:38:36.504]',-0.244,0.478,-,58.750,-
'[05:38:36.512]',-0.236,0.514,-,59.375,-
'[05:38:36.520]',-0.228,0.553,-,59.375,-
'[05:38:36.528]',-0.213,0.584,-,59.375,-
'[05:38:36.536]',-0.197,0.616,-,60.000,-
'[05:38:36.544]',-0.189,0.643,-,60.000,-
'[05:38:36.552]',-0.189,0.663,-,60.000,-
'[05:38:36.560]',-0.173,0.675,-,61.250,-
'[05:38:36.568]',-0.173,0.682,-,61.250,-
'[05:38:36.576]',-0.157,0.682,-,61.250,-
'[05:38:36.584]',-0.142,0.682,-,61.250,-
'[05:38:36.592]',-0.134,0.675,-,61.250,-
'[05:38:36.600]',-0.118,0.663,-,61.250,-
'[05:38:36.608]',-0.102,0.647,-,60.000,-
'[05:38:36.616]',-0.087,0.627,-,60.000,-
'[05:38:36.624]',-0.063,0.608,-,60.000,-
'[05:38:36.632]',-0.039,0.584,-,59.375,-
'[05:38:36.640]',-0.024,0.557,-,59.375,-
'[05:38:36.648]',-0.008,0.529,-,58.750,-
'[05:38:36.656]',0.008,0.506,-,58.125,-
'[05:38:36.664]',0.024,0.482,-,58.125,-
'[05:38:36.672]',0.031,0.459,-,56.875,-
'[05:38:36.680]',0.024,0.435,-,56.250,-
'[05:38:36.688]',0.016,0.408,-,56.250,-
'[05:38:36.696]',0.000,0.388,-,56.250,-
'[05:38:36.704]',-0.008,0.365,-,58.750,-
'[05:38:36.712]',-0.016,0.349,-,61.875,-
'[05:38:36.720]',-0.024,0.333,-,65.000,-
'[05:38:36.728]',-0.024,0.322,-,68.750,-
'[05:38:36.736]',-0.031,0.314,-,71.250,-
'[05:38:36.744]',-0.031,0.306,-,73.750,-
'[05:38:36.752]',-0.031,0.306,-,75.625,-
'[05:38:36.760]',-0.031,0.302,-,78.125,-
'[05:38:36.768]',-0.031,0.306,-,80.625,-
'[05:38:36.776]',-0.024,0.310,-,83.750,-
'[05:38:36.784]',-0.024,0.314,-,86.250,-
'[05:38:36.792]',-0.024,0.322,-,88.125,-
'[05:38:36.800]',-0.031,0.325,-,90.000,-
'[05:38:36.808]',-0.031,0.333,-,90.625,-
'[05:38:36.816]',-0.031,0.341,-,91.250,-
'[05:38:36.824]',-0.031,0.349,-,91.250,-
'[05:38:36.832]',-0.031,0.357,-,90.625,-
'[05:38:36.840]',-0.031,0.365,-,90.000,-
'[05:38:36.848]',-0.031,0.369,-,88.125,-
'[05:38:36.856]',-0.008,0.373,-,86.875,-
'[05:38:36.864]',0.008,0.376,-,84.375,-
'[05:38:36.872]',0.024,0.380,-,81.875,-
'[05:38:36.880]',0.055,0.380,-,80.000,-
'[05:38:36.888]',0.071,0.380,-,76.875,-
'[05:38:36.896]',0.094,0.380,-,74.375,-
'[05:38:36.904]',0.087,0.380,-,71.875,-
'[05:38:36.912]',0.039,0.376,-,69.375,-
'[05:38:36.920]',-0.024,0.376,-,67.500,-
'[05:38:36.928]',-0.047,0.373,-,65.625,-
'[05:38:36.936]',-0.055,0.369,-,64.375,-
'[05:38:36.944]',-0.063,0.361,-,62.500,-
'[05:38:36.952]',-0.063,0.357,-,61.250,-
'[05:38:36.960]',-0.071,0.353,-,60.000,-
'[05:38:36.968]',-0.181,0.349,-,59.375,-
'[05:38:36.976]',-0.016,0.345,-,58.750,-
'[05:38:36.984]',0.717,0.345,-,58.125,-
'[05:38:36.992]',1.315,0.349,-,58.125,-
'[05:38:37.000]',0.764,0.357,-,56.875,-
'[05:38:37.008]',0.094,0.373,-,56.875,-
'[05:38:37.016]',-0.228,0.396,-,56.875,-
'[05:38:37.024]',-0.323,0.420,-,56.875,-
'[05:38:37.032]',-0.252,0.451,-,56.875,-
'[05:38:37.040]',-0.220,0.486,-,56.875,-
'[05:38:37.048]',-0.213,0.522,-,58.125,-
'[05:38:37.056]',-0.213,0.553,-,58.125,-
'[05:38:37.064]',-0.197,0.576,-,58.125,-
'[05:38:37.072]',-0.189,0.608,-,58.750,-
'[05:38:37.080]',-0.181,0.631,-,58.750,-
'[05:38:37.088]',-0.173,0.651,-,58.750,-
'[05:38:37.096]',-0.157,0.667,-,58.750,-
'[05:38:37.104]',-0.142,0.678,-,59.375,-
'[05:38:37.112]',-0.134,0.682,-,59.375,-
'[05:38:37.120]',-0.118,0.678,-,59.375,-
'[05:38:37.128]',-0.110,0.671,-,59.375,-
'[05:38:37.136]',-0.094,0.659,-,58.750,-
'[05:38:37.144]',-0.079,0.643,-,58.750,-
'[05:38:37.152]',-0.071,0.627,-,58.750,-
'[05:38:37.160]',-0.039,0.608,-,58.125,-
'[05:38:37.168]',-0.024,0.588,-,58.125,-
'[05:38:37.176]',0.000,0.565,-,58.125,-
'[05:38:37.184]',0.016,0.537,-,56.875,-
'[05:38:37.192]',0.024,0.510,-,56.250,-
'[05:38:37.200]',0.031,0.482,-,56.250,-
'[05:38:37.208]',0.039,0.459,-,55.625,-
'[05:38:37.216]',0.031,0.431,-,55.625,-
'[05:38:37.224]',0.008,0.408,-,55.000,-
'[05:38:37.232]',-0.008,0.384,-,55.000,-
'[05:38:37.240]',-0.008,0.365,-,55.625,-
'[05:38:37.248]',-0.016,0.345,-,58.125,-
'[05:38:37.256]',-0.016,0.333,-,60.000,-
'[05:38:37.264]',-0.024,0.322,-,64.375,-
'[05:38:37.272]',-0.031,0.314,-,66.250,-
'[05:38:37.280]',-0.024,0.306,-,68.750,-
'[05:38:37.288]',-0.031,0.298,-,71.250,-
'[05:38:37.296]',-0.031,0.298,-,72.500,-
'[05:38:37.304]',-0.031,0.298,-,75.000,-
'[05:38:37.312]',-0.024,0.298,-,77.500,-
'[05:38:37.320]',-0.031,0.302,-,80.000,-
'[05:38:37.328]',-0.024,0.306,-,81.250,-
'[05:38:37.336]',-0.031,0.314,-,83.750,-
'[05:38:37.344]',-0.031,0.322,-,84.375,-
'[05:38:37.352]',-0.039,0.325,-,85.000,-
'[05:38:37.360]',-0.039,0.333,-,86.250,-
'[05:38:37.368]',-0.047,0.341,-,85.000,-
'[05:38:37.376]',-0.047,0.345,-,85.000,-
'[05:38:37.384]',-0.039,0.349,-,83.750,-
'[05:38:37.392]',-0.024,0.357,-,81.875,-
'[05:38:37.400]',-0.008,0.357,-,80.625,-
'[05:38:37.408]',0.024,0.361,-,78.125,-
'[05:38:37.416]',0.055,0.361,-,75.625,-
'[05:38:37.424]',0.071,0.361,-,73.750,-
'[05:38:37.432]',0.087,0.361,-,71.250,-
'[05:38:37.440]',0.079,0.361,-,68.750,-
'[05:38:37.448]',0.031,0.357,-,67.500,-
'[05:38:37.456]',-0.031,0.357,-,65.000,-
'[05:38:37.464]',-0.055,0.353,-,63.125,-
'[05:38:37.472]',-0.063,0.349,-,61.875,-
'[05:38:37.480]',-0.063,0.345,-,60.000,-
'[05:38:37.488]',-0.071,0.341,-,59.375,-
'[05:38:37.496]',-0.087,0.337,-,58.125,-
'[05:38:37.504]',-0.189,0.329,-,56.875,-
'[05:38:37.512]',0.071,0.325,-,56.250,-
'[05:38:37.520]',0.819,0.325,-,56.250,-
'[05:38:37.528]',1.291,0.325,-,55.625,-
'[05:38:37.536]',0.614,0.329,-,55.625,-
'[05:38:37.544]',0.008,0.341,-,55.000,-
'[05:38:37.552]',-0.276,0.353,-,55.000,-
'[05:38:37.560]',-0.339,0.369,-,55.000,-
'[05:38:37.568]',-0.260,0.392,-,55.000,-
'[05:38:37.576]',-0.236,0.420,-,55.625,-
'[05:38:37.584]',-0.228,0.447,-,55.625,-
'[05:38:37.592]',-0.213,0.478,-,55.625,-
'[05:38:37.600]',-0.205,0.510,-,56.250,-
'[05:38:37.608]',-0.189,0.541,-,56.250,-
'[05:38:37.616]',-0.181,0.569,-,56.250,-
'[05:38:37.624]',-0.173,0.592,-,56.250,-
'[05:38:37.632]',-0.157,0.608,-,56.875,-
'[05:38:37.640]',-0.150,0.624,-,56.875,-
'[05:38:37.648]',-0.142,0.631,-,56.875,-
'[05:38:37.656]',-0.126,0.631,-,56.875,-
'[05:38:37.664]',-0.118,0.631,-,56.875,-
'[05:38:37.672]',-0.102,0.624,-,56.875,-
'[05:38:37.680]',-0.079,0.612,-,56.875,-
'[05:38:37.688]',-0.063,0.596,-,56.250,-
'[05:38:37.696]',-0.031,0.580,-,56.250,-
'[05:38:37.704]',-0.016,0.557,-,56.250,-
'[05:38:37.712]',0.000,0.537,-,55.625,-
'[05:38:37.720]',0.024,0.514,-,55.625,-
'[05:38:37.728]',0.031,0.494,-,55.625,-
'[05:38:37.736]',0.039,0.475,-,55.000,-
'[05:38:37.744]',0.039,0.455,-,53.750,-
'[05:38:37.752]',0.024,0.431,-,53.750,-
'[05:38:37.760]',0.008,0.412,-,53.125,-
'[05:38:37.768]',-0.016,0.388,-,53.125,-
'[05:38:37.776]',-0.024,0.365,-,53.750,-
'[05:38:37.784]',-0.031,0.345,-,55.625,-
'[05:38:37.792]',-0.031,0.325,-,58.750,-
'[05:38:37.800]',-0.031,0.310,-,61.875,-
'[05:38:37.808]',-0.031,0.298,-,64.375,-
'[05:38:37.816]',-0.031,0.290,-,66.250,-
'[05:38:37.824]',-0.031,0.282,-,68.750,-
'[05:38:37.832]',-0.031,0.278,-,70.625,-
'[05:38:37.840]',-0.031,0.275,-,71.875,-
'[05:38:37.848]',-0.039,0.278,-,74.375,-
'[05:38:37.856]',-0.039,0.282,-,76.875,-
'[05:38:37.864]',-0.039,0.286,-,78.125,-
'[05:38:37.872]',-0.031,0.294,-,80.000,-
'[05:38:37.880]',-0.031,0.298,-,81.250,-
'[05:38:37.888]',-0.047,0.310,-,81.875,-
'[05:38:37.896]',-0.047,0.318,-,83.125,-
'[05:38:37.904]',-0.047,0.325,-,83.125,-
'[05:38:37.912]',-0.047,0.333,-,81.875,-
'[05:38:37.920]',-0.031,0.341,-,81.250,-
'[05:38:37.928]',-0.016,0.349,-,80.000,-
'[05:38:37.936]',0.008,0.353,-,78.125,-
'[05:38:37.944]',0.039,0.357,-,75.625,-
'[05:38:37.952]',0.063,0.361,-,74.375,-
'[05:38:37.960]',0.071,0.365,-,71.875,-
'[05:38:37.968]',0.079,0.365,-,69.375,-
'[05:38:37.976]',0.039,0.365,-,67.500,-
'[05:38:37.984]',-0.024,0.365,-,65.625,-
'[05:38:37.992]',-0.063,0.365,-,63.125,-
'[05:38:38.000]',-0.063,0.361,-,61.875,-
'[05:38:38.008]',-0.063,0.357,-,60.000,-
'[05:38:38.016]',-0.071,0.353,-,59.375,-
'[05:38:38.024]',-0.071,0.349,-,58.125,-
'[05:38:38.032]',-0.165,0.345,-,56.875,-
'[05:38:38.040]',-0.189,0.337,-,56.250,-
'[05:38:38.048]',0.575,0.333,-,55.625,-
'[05:38:38.056]',1.307,0.333,-,55.000,-
'[05:38:38.064]',0.913,0.333,-,53.750,-
'[05:38:38.072]',0.157,0.337,-,53.750,-
'[05:38:38.080]',-0.205,0.345,-,53.750,-
'[05:38:38.088]',-0.354,0.361,-,53.750,-
'[05:38:38.096]',-0.291,0.380,-,53.750,-
'[05:38:38.104]',-0.244,0.408,-,53.750,-
'[05:38:38.112]',-0.236,0.439,-,53.750,-
'[05:38:38.120]',-0.228,0.471,-,53.750,-
'[05:38:38.128]',-0.213,0.506,-,55.000,-
'[05:38:38.136]',-0.205,0.541,-,55.000,-
'[05:38:38.144]',-0.189,0.576,-,55.000,-
'[05:38:38.152]',-0.173,0.604,-,55.000,-
'[05:38:38.160]',-0.157,0.624,-,55.625,-
'[05:38:38.168]',-0.150,0.643,-,55.625,-
'[05:38:38.176]',-0.134,0.663,-,55.625,-
'[05:38:38.184]',-0.126,0.675,-,55.625,-
'[05:38:38.192]',-0.110,0.678,-,56.250,-
'[05:38:38.200]',-0.102,0.678,-,56.250,-
'[05:38:38.208]',-0.087,0.671,-,56.250,-
'[05:38:38.216]',-0.071,0.663,-,55.625,-
'[05:38:38.224]',-0.047,0.647,-,55.625,-
'[05:38:38.232]',-0.016,0.627,-,55.625,-
'[05:38:38.240]',0.008,0.604,-,55.625,-
'[05:38:38.248]',0.024,0.576,-,55.000,-
'[05:38:38.256]',0.031,0.553,-,55.000,-
'[05:38:38.264]',0.039,0.529,-,55.000,-
'[05:38:38.272]',0.039,0.506,-,53.750,-
'[05:38:38.280]',0.024,0.478,-,53.125,-
'[05:38:38.288]',0.008,0.451,-,53.125,-
'[05:38:38.296]',-0.008,0.427,-,53.125,-
'[05:38:38.304]',-0.016,0.400,-,53.750,-
'[05:38:38.312]',-0.024,0.376,-,55.625,-
'[05:38:38.320]',-0.031,0.357,-,58.750,-
'[05:38:38.328]',-0.039,0.337,-,61.875,-
'[05:38:38.336]',-0.039,0.322,-,65.000,-
'[05:38:38.344]',-0.031,0.310,-,67.500,-
'[05:38:38.352]',-0.031,0.302,-,68.750,-
'[05:38:38.360]',-0.031,0.294,-,71.250,-
'[05:38:38.368]',-0.031,0.290,-,72.500,-
'[05:38:38.376]',-0.031,0.290,-,75.000,-
'[05:38:38.384]',-0.031,0.290,-,77.500,-
'[05:38:38.392]',-0.031,0.294,-,80.000,-
'[05:38:38.400]',-0.031,0.298,-,81.250,-
'[05:38:38.408]',-0.039,0.306,-,83.125,-
'[05:38:38.416]',-0.039,0.314,-,83.750,-
'[05:38:38.424]',-0.031,0.322,-,84.375,-
'[05:38:38.432]',-0.039,0.329,-,84.375,-
'[05:38:38.440]',-0.031,0.337,-,83.750,-
'[05:38:38.448]',-0.016,0.349,-,83.125,-
'[05:38:38.456]',-0.008,0.357,-,81.250,-
'[05:38:38.464]',0.008,0.361,-,80.000,-
'[05:38:38.472]',0.039,0.369,-,78.125,-
'[05:38:38.480]',0.071,0.373,-,75.625,-
'[05:38:38.488]',0.079,0.376,-,73.750,-
'[05:38:38.496]',0.087,0.380,-,71.250,-
'[05:38:38.504]',0.039,0.384,-,68.750,-
'[05:38:38.512]',-0.024,0.384,-,67.500,-
'[05:38:38.520]',-0.047,0.384,-,65.000,-
'[05:38:38.528]',-0.063,0.384,-,63.125,-
'[05:38:38.536]',-0.063,0.380,-,61.875,-
'[05:38:38.544]',-0.071,0.380,-,60.000,-
