'Time','II','ABP','PLETH','III'
'[16:39:28.056]',0.525,68.437,0.427,-
'[16:39:28.064]',0.533,65.625,0.424,-
'[16:39:28.072]',0.541,63.750,0.427,-
'[16:39:28.080]',0.525,61.875,0.431,-
'[16:39:28.088]',0.494,60.000,0.443,-
'[16:39:28.096]',0.459,59.062,0.455,-
'[16:39:28.104]',0.424,58.125,0.475,-
'[16:39:28.112]',0.404,57.187,0.498,-
'[16:39:28.120]',0.404,56.250,0.522,-
'[16:39:28.128]',0.404,56.250,0.549,-
'[16:39:28.136]',0.408,55.312,0.576,-
'[16:39:28.144]',0.416,55.312,0.600,-
'[16:39:28.152]',0.404,55.312,0.627,-
'[16:39:28.160]',0.404,55.312,0.655,-
'[16:39:28.168]',0.459,55.312,0.682,-
'[16:39:28.176]',0.604,55.312,0.710,-
'[16:39:28.184]',0.780,55.312,0.733,-
'[16:39:28.192]',0.855,55.312,0.753,-
'[16:39:28.200]',0.835,55.312,0.773,-
'[16:39:28.208]',0.792,55.312,0.788,-
'[16:39:28.216]',0.725,54.375,0.800,-
'[16:39:28.224]',0.635,54.375,0.808,-
'[16:39:28.232]',0.545,54.375,0.812,-
'[16:39:28.240]',0.471,53.437,0.816,-
'[16:39:28.248]',0.431,53.437,0.820,-
'[16:39:28.256]',0.416,53.437,0.820,-
'[16:39:28.264]',0.404,52.500,0.820,-
'[16:39:28.272]',0.404,52.500,0.820,-
'[16:39:28.280]',0.404,51.562,0.812,-
'[16:39:28.288]',0.404,51.562,0.808,-
'[16:39:28.296]',0.408,50.625,0.800,-
'[16:39:28.304]',0.416,50.625,0.792,-
'[16:39:28.312]',0.416,49.687,0.780,-
'[16:39:28.320]',0.420,49.687,0.769,-
'[16:39:28.328]',0.424,48.750,0.753,-
'[16:39:28.336]',0.424,48.750,0.737,-
'[16:39:28.344]',0.431,47.812,0.725,-
'[16:39:28.352]',0.435,47.812,0.706,-
'[16:39:28.360]',0.439,46.875,0.690,-
'[16:39:28.368]',0.439,46.875,0.671,-
'[16:39:28.376]',0.443,45.937,0.651,-
'[16:39:28.384]',0.451,45.937,0.631,-
'[16:39:28.392]',0.459,45.937,0.612,-
'[16:39:28.400]',0.467,45.937,0.596,-
'[16:39:28.408]',0.471,47.812,0.576,-
'[16:39:28.416]',0.471,51.562,0.561,-
'[16:39:28.424]',0.475,58.125,0.541,-
'[16:39:28.432]',0.478,67.500,0.529,-
'[16:39:28.440]',0.486,77.812,0.518,-
'[16:39:28.448]',0.490,88.125,0.502,-
'[16:39:28.456]',0.490,96.562,0.490,-
'[16:39:28.464]',0.490,104.062,0.478,-
'[16:39:28.472]',0.490,109.687,0.467,-
'[16:39:28.480]',0.490,113.437,0.455,-
'[16:39:28.488]',0.486,116.250,0.443,-
'[16:39:28.496]',0.478,116.250,0.435,-
'[16:39:28.504]',0.475,115.312,0.424,-
'[16:39:28.512]',0.475,114.375,0.412,-
'[16:39:28.520]',0.471,111.562,0.404,-
'[16:39:28.528]',0.471,108.750,0.396,-
'[16:39:28.536]',0.471,106.875,0.388,-
'[16:39:28.544]',0.475,104.062,0.380,-
'[16:39:28.552]',0.475,102.187,0.408,-
'[16:39:28.560]',0.475,100.312,0.455,-
'[16:39:28.568]',0.475,98.437,0.478,-
'[16:39:28.576]',0.471,96.562,0.490,-
'[16:39:28.584]',0.471,94.687,0.447,-
'[16:39:28.592]',0.471,93.750,0.376,-
'[16:39:28.600]',0.471,91.875,0.337,-
'[16:39:28.608]',0.471,90.937,0.314,-
'[16:39:28.616]',0.471,89.062,0.302,-
'[16:39:28.624]',0.471,87.187,0.290,-
'[16:39:28.632]',0.471,86.250,0.282,-
'[16:39:28.640]',0.471,84.375,0.275,-
'[16:39:28.648]',0.478,82.500,0.271,-
'[16:39:28.656]',0.494,79.687,0.263,-
'[16:39:28.664]',0.506,77.812,0.255,-
'[16:39:28.672]',0.514,75.000,0.251,-
'[16:39:28.680]',0.525,72.187,0.247,-
'[16:39:28.688]',0.529,69.375,0.243,-
'[16:39:28.696]',0.541,66.562,0.247,-
'[16:39:28.704]',0.529,63.750,0.251,-
'[16:39:28.712]',0.506,61.875,0.259,-
'[16:39:28.720]',0.478,60.000,0.271,-
'[16:39:28.728]',0.443,59.062,0.286,-
'[16:39:28.736]',0.420,58.125,0.306,-
'[16:39:28.744]',0.404,57.187,0.329,-
'[16:39:28.752]',0.404,56.250,0.357,-
'[16:39:28.760]',0.404,56.250,0.388,-
'[16:39:28.768]',0.404,55.312,0.420,-
'[16:39:28.776]',0.408,55.312,0.451,-
'[16:39:28.784]',0.404,55.312,0.482,-
'[16:39:28.792]',0.408,55.312,0.510,-
'[16:39:28.800]',0.478,55.312,0.537,-
'[16:39:28.808]',0.635,55.312,0.565,-
'[16:39:28.816]',0.796,55.312,0.584,-
'[16:39:28.824]',0.847,55.312,0.604,-
'[16:39:28.832]',0.827,55.312,0.620,-
'[16:39:28.840]',0.784,54.375,0.631,-
'[16:39:28.848]',0.714,54.375,0.643,-
'[16:39:28.856]',0.612,54.375,0.651,-
'[16:39:28.864]',0.522,54.375,0.663,-
'[16:39:28.872]',0.451,53.437,0.667,-
'[16:39:28.880]',0.416,53.437,0.671,-
'[16:39:28.888]',0.404,52.500,0.671,-
'[16:39:28.896]',0.400,52.500,0.671,-
'[16:39:28.904]',0.306,51.562,0.671,-
'[16:39:28.912]',0.306,51.562,0.667,-
'[16:39:28.920]',0.306,50.625,0.663,-
'[16:39:28.928]',0.306,50.625,0.659,-
'[16:39:28.936]',0.314,49.687,0.490,-
'[16:39:28.944]',0.314,49.687,0.247,-
'[16:39:28.952]',0.322,48.750,0.125,-
'[16:39:28.960]',0.322,48.750,0.067,-
'[16:39:28.968]',0.337,47.812,0.035,-
'[16:39:28.976]',0.337,47.812,0.020,-
'[16:39:28.984]',0.345,46.875,0.012,-
'[16:39:28.992]',0.369,46.875,0.008,-
'[16:39:29.000]',0.376,45.937,0.004,-
'[16:39:29.008]',0.376,45.937,0.004,-
'[16:39:29.016]',0.376,45.000,0.004,-
'[16:39:29.024]',0.392,45.000,0.004,-
'[16:39:29.032]',0.408,45.937,0.004,-
'[16:39:29.040]',0.408,47.812,0.004,-
'[16:39:29.048]',0.408,52.500,0.004,-
'[16:39:29.056]',0.416,60.000,0.004,-
'[16:39:29.064]',0.424,69.375,-,-
'[16:39:29.072]',0.447,79.687,-,-
'[16:39:29.080]',0.455,89.062,-,-
'[16:39:29.088]',0.463,97.500,-,-
'[16:39:29.096]',0.463,105.000,-,-
'[16:39:29.104]',0.463,110.625,-,-
'[16:39:29.112]',0.463,113.437,-,-
'[16:39:29.120]',0.447,115.312,-,-
'[16:39:29.128]',0.439,116.250,-,-
'[16:39:29.136]',0.439,115.312,-,-
'[16:39:29.144]',0.439,113.437,-,-
'[16:39:29.152]',0.424,110.625,-,-
'[16:39:29.160]',0.424,107.812,-,-
'[16:39:29.168]',0.424,105.000,-,-
'[16:39:29.176]',0.439,103.125,-,-
'[16:39:29.184]',0.439,100.312,-,-
'[16:39:29.192]',0.447,98.437,-,-
'[16:39:29.200]',0.439,96.562,-,-
'[16:39:29.208]',0.447,94.687,-,-
'[16:39:29.216]',0.447,92.812,-,-
'[16:39:29.224]',0.447,91.875,-,-
'[16:39:29.232]',0.447,90.000,-,-
'[16:39:29.240]',0.447,89.062,-,-
'[16:39:29.248]',0.447,87.187,-,-
'[16:39:29.256]',0.447,85.312,-,-
'[16:39:29.264]',0.447,83.437,-,-
'[16:39:29.272]',0.447,81.562,-,-
'[16:39:29.280]',0.369,79.687,-,-
'[16:39:29.288]',0.392,77.812,-,-
'[16:39:29.296]',0.400,75.000,-,-
'[16:39:29.304]',0.416,72.187,-,-
'[16:39:29.312]',0.424,69.375,-,-
'[16:39:29.320]',0.424,66.562,-,-
'[16:39:29.328]',0.439,64.687,-,-
'[16:39:29.336]',0.424,62.812,-,-
'[16:39:29.344]',0.392,60.937,-,-
'[16:39:29.352]',0.361,59.062,-,-
'[16:39:29.360]',0.322,58.125,-,-
'[16:39:29.368]',0.298,57.187,-,-
'[16:39:29.376]',0.290,56.250,-,-
'[16:39:29.384]',0.290,56.250,-,-
'[16:39:29.392]',0.290,56.250,-,-
'[16:39:29.400]',0.298,55.312,-,-
'[16:39:29.408]',0.298,55.312,-,-
'[16:39:29.416]',0.290,55.312,-,-
'[16:39:29.424]',0.298,55.312,-,-
'[16:39:29.432]',0.369,55.312,-,-
'[16:39:29.440]',0.522,55.312,-,-
'[16:39:29.448]',0.678,55.312,-,-
'[16:39:29.456]',0.725,55.312,-,-
'[16:39:29.464]',0.710,54.375,-,-
'[16:39:29.472]',0.671,54.375,-,-
'[16:39:29.480]',0.600,54.375,-,-
'[16:39:29.488]',0.502,54.375,-,-
'[16:39:29.496]',0.408,53.437,-,-
'[16:39:29.504]',0.337,53.437,-,-
'[16:39:29.512]',0.314,52.500,-,-
'[16:39:29.520]',0.298,52.500,-,-
'[16:39:29.528]',0.298,52.500,-,-
'[16:39:29.536]',0.298,51.562,-,-
'[16:39:29.544]',0.298,51.562,-,-
'[16:39:29.552]',0.298,50.625,-,-
'[16:39:29.560]',0.298,50.625,-,-
'[16:39:29.568]',0.298,49.687,-,-
'[16:39:29.576]',0.298,48.750,-,-
'[16:39:29.584]',0.306,48.750,-,-
'[16:39:29.592]',0.306,47.812,-,-
'[16:39:29.600]',0.314,47.812,-,-
'[16:39:29.608]',0.314,46.875,-,-
'[16:39:29.616]',0.314,46.875,-,-
'[16:39:29.624]',0.314,46.875,-,-
'[16:39:29.632]',0.322,45.937,-,-
'[16:39:29.640]',0.329,45.937,-,-
'[16:39:29.648]',0.337,45.000,-,-
'[16:39:29.656]',0.337,45.000,-,-
'[16:39:29.664]',0.353,45.937,-,-
'[16:39:29.672]',0.353,47.812,-,-
'[16:39:29.680]',0.353,52.500,-,-
'[16:39:29.688]',0.353,59.062,-,-
'[16:39:29.696]',0.361,68.437,-,-
'[16:39:29.704]',0.361,78.750,-,-
'[16:39:29.712]',0.369,89.062,-,-
'[16:39:29.720]',0.376,97.500,-,-
'[16:39:29.728]',0.376,104.062,-,-
'[16:39:29.736]',0.376,109.687,-,-
'[16:39:29.744]',0.376,113.437,-,-
'[16:39:29.752]',0.369,115.312,-,-
'[16:39:29.760]',0.369,115.312,-,-
'[16:39:29.768]',0.369,114.375,-,-
'[16:39:29.776]',0.361,112.500,-,-
'[16:39:29.784]',0.361,109.687,-,-
'[16:39:29.792]',0.361,106.875,-,-
'[16:39:29.800]',0.361,104.062,-,-
'[16:39:29.808]',0.353,102.187,-,-
'[16:39:29.816]',0.353,99.375,-,-
'[16:39:29.824]',0.353,97.500,-,-
'[16:39:29.832]',0.361,95.625,-,-
'[16:39:29.840]',0.361,93.750,-,-
'[16:39:29.848]',0.361,91.875,-,-
'[16:39:29.856]',0.361,90.000,-,-
'[16:39:29.864]',0.353,89.062,-,-
'[16:39:29.872]',0.353,87.187,-,-
'[16:39:29.880]',0.353,86.250,-,-
'[16:39:29.888]',0.353,84.375,-,-
'[16:39:29.896]',0.353,82.500,-,-
'[16:39:29.904]',0.361,80.625,-,-
'[16:39:29.912]',0.376,77.812,-,-
'[16:39:29.920]',0.392,75.937,-,-
'[16:39:29.928]',0.408,73.125,-,-
'[16:39:29.936]',0.416,70.312,-,-
'[16:39:29.944]',0.424,68.437,-,-
'[16:39:29.952]',0.424,65.625,-,-
'[16:39:29.960]',0.439,63.750,0.106,-
'[16:39:29.968]',0.416,61.875,0.263,-
'[16:39:29.976]',0.392,60.000,0.341,-
'[16:39:29.984]',0.353,59.062,0.380,-
'[16:39:29.992]',0.314,58.125,0.404,-
'[16:39:30.000]',0.282,57.187,0.412,-
'[16:39:30.008]',0.275,57.187,0.416,-
'[16:39:30.016]',0.275,56.250,0.420,-
'[16:39:30.024]',0.282,56.250,0.420,-
'[16:39:30.032]',0.282,56.250,0.424,-
'[16:39:30.040]',0.290,56.250,0.424,-
'[16:39:30.048]',0.282,55.312,0.424,-
'[16:39:30.056]',0.290,55.312,0.424,-
'[16:39:30.064]',0.376,55.312,0.424,-
'[16:39:30.072]',0.537,55.312,0.424,-
'[16:39:30.080]',0.686,55.312,0.424,-
'[16:39:30.088]',0.725,55.312,0.424,-
'[16:39:30.096]',0.710,55.312,0.424,-
'[16:39:30.104]',0.671,54.375,0.424,-
'[16:39:30.112]',0.584,54.375,0.424,-
'[16:39:30.120]',0.486,54.375,0.424,-
'[16:39:30.128]',0.392,53.437,0.424,-
'[16:39:30.136]',0.337,53.437,0.424,-
'[16:39:30.144]',0.306,52.500,0.424,-
'[16:39:30.152]',0.290,52.500,0.424,-
'[16:39:30.160]',0.290,52.500,0.424,-
'[16:39:30.168]',0.282,51.562,0.424,-
'[16:39:30.176]',0.282,51.562,0.424,-
'[16:39:30.184]',0.282,50.625,0.424,-
'[16:39:30.192]',0.282,50.625,0.424,-
'[16:39:30.200]',0.290,49.687,0.424,-
'[16:39:30.208]',0.290,49.687,0.424,-
'[16:39:30.216]',0.290,48.750,0.424,-
'[16:39:30.224]',0.298,48.750,0.424,-
'[16:39:30.232]',0.298,47.812,0.424,-
'[16:39:30.240]',0.306,47.812,0.424,-
'[16:39:30.248]',0.306,46.875,0.424,-
'[16:39:30.256]',0.306,46.875,0.424,-
'[16:39:30.264]',0.314,45.937,0.424,-
'[16:39:30.272]',0.322,45.937,0.424,-
'[16:39:30.280]',0.322,45.000,0.420,-
'[16:39:30.288]',0.329,45.000,0.420,-
'[16:39:30.296]',0.337,45.937,0.420,-
'[16:39:30.304]',0.337,47.812,0.420,-
'[16:39:30.312]',0.337,52.500,0.420,-
'[16:39:30.320]',0.337,60.000,0.420,-
'[16:39:30.328]',0.353,68.437,0.420,-
'[16:39:30.336]',0.361,78.750,0.420,-
'[16:39:30.344]',0.369,89.062,0.420,-
'[16:39:30.352]',0.369,97.500,0.420,-
'[16:39:30.360]',0.369,104.062,0.420,-
'[16:39:30.368]',0.369,109.687,0.420,-
'[16:39:30.376]',0.369,113.437,0.420,-
'[16:39:30.384]',0.361,115.312,0.420,-
'[16:39:30.392]',0.361,115.312,0.420,-
'[16:39:30.400]',0.353,114.375,0.420,-
'[16:39:30.408]',0.353,112.500,0.420,-
'[16:39:30.416]',0.353,109.687,0.420,-
'[16:39:30.424]',0.353,106.875,0.420,-
'[16:39:30.432]',0.345,104.062,0.420,-
'[16:39:30.440]',0.345,102.187,0.420,-
'[16:39:30.448]',0.345,99.375,0.420,-
'[16:39:30.456]',0.353,97.500,0.420,-
'[16:39:30.464]',0.353,94.687,0.420,-
'[16:39:30.472]',0.353,92.812,0.420,-
'[16:39:30.480]',0.353,91.875,0.420,-
'[16:39:30.488]',0.353,90.000,0.420,-
'[16:39:30.496]',0.353,88.125,0.420,-
'[16:39:30.504]',0.353,86.250,0.420,-
'[16:39:30.512]',0.353,85.312,0.420,-
'[16:39:30.520]',0.353,83.437,0.420,-
'[16:39:30.528]',0.353,81.562,0.420,-
'[16:39:30.536]',0.361,79.687,0.420,-
'[16:39:30.544]',0.376,77.812,0.420,-
'[16:39:30.552]',0.392,75.000,0.420,-
'[16:39:30.560]',0.408,72.187,0.420,-
'[16:39:30.568]',0.416,69.375,0.420,-
'[16:39:30.576]',0.424,67.500,0.420,-
'[16:39:30.584]',0.424,64.687,0.420,-
'[16:39:30.592]',0.424,62.812,0.420,-
'[16:39:30.600]',0.408,60.937,0.420,-
'[16:39:30.608]',0.384,60.000,0.420,-
'[16:39:30.616]',0.345,59.062,0.420,-
'[16:39:30.624]',0.314,58.125,0.420,-
'[16:39:30.632]',0.282,57.187,0.420,-
'[16:39:30.640]',0.282,57.187,0.420,-
'[16:39:30.648]',0.282,56.250,0.420,-
'[16:39:30.656]',0.282,56.250,0.420,-
'[16:39:30.664]',0.290,56.250,0.420,-
'[16:39:30.672]',0.290,56.250,0.420,-
'[16:39:30.680]',0.282,56.250,0.420,-
'[16:39:30.688]',0.298,56.250,0.420,-
'[16:39:30.696]',0.392,56.250,0.420,-
'[16:39:30.704]',0.561,56.250,0.420,-
'[16:39:30.712]',0.694,55.312,0.420,-
'[16:39:30.720]',0.725,55.312,0.420,-
'[16:39:30.728]',0.702,55.312,0.420,-
'[16:39:30.736]',0.655,54.375,0.420,-
'[16:39:30.744]',0.569,54.375,0.420,-
'[16:39:30.752]',0.463,54.375,0.420,-
'[16:39:30.760]',0.376,53.437,0.420,-
'[16:39:30.768]',0.322,53.437,0.420,-
'[16:39:30.776]',0.298,52.500,0.420,-
'[16:39:30.784]',0.298,52.500,0.424,-
'[16:39:30.792]',0.290,51.562,0.424,-
'[16:39:30.800]',0.290,51.562,0.424,-
'[16:39:30.808]',0.290,50.625,0.424,-
'[16:39:30.816]',0.290,50.625,0.424,-
'[16:39:30.824]',0.298,49.687,0.424,-
'[16:39:30.832]',0.298,49.687,0.424,-
'[16:39:30.840]',0.298,48.750,0.420,-
'[16:39:30.848]',0.306,47.812,0.420,-
'[16:39:30.856]',0.306,47.812,0.420,-
'[16:39:30.864]',0.314,46.875,0.420,-
'[16:39:30.872]',0.314,46.875,0.420,-
'[16:39:30.880]',0.314,45.937,0.420,-
'[16:39:30.888]',0.322,45.937,0.420,-
'[16:39:30.896]',0.322,45.000,0.420,-
'[16:39:30.904]',0.329,45.000,0.420,-
'[16:39:30.912]',0.337,44.062,0.420,-
'[16:39:30.920]',0.337,44.062,0.420,-
'[16:39:30.928]',0.337,45.000,0.420,-
'[16:39:30.936]',0.345,46.875,0.420,-
'[16:39:30.944]',0.353,50.625,0.420,-
'[16:39:30.952]',0.353,58.125,0.420,-
'[16:39:30.960]',0.353,67.500,0.420,-
'[16:39:30.968]',0.361,77.812,0.420,-
'[16:39:30.976]',0.369,87.187,0.420,-
'[16:39:30.984]',0.369,96.562,0.420,-
'[16:39:30.992]',0.369,103.125,0.420,-
'[16:39:31.000]',0.369,108.750,0.420,-
'[16:39:31.008]',0.361,111.562,0.420,-
'[16:39:31.016]',0.353,114.375,0.420,-
'[16:39:31.024]',0.353,114.375,0.420,-
'[16:39:31.032]',0.353,113.437,0.420,-
'[16:39:31.040]',0.353,110.625,0.420,-
'[16:39:31.048]',0.353,108.750,0.420,-
'[16:39:31.056]',0.353,105.937,0.420,-
'[16:39:31.064]',0.353,103.125,0.420,-
'[16:39:31.072]',0.353,100.312,0.420,-
'[16:39:31.080]',0.353,97.500,0.420,-
'[16:39:31.088]',0.353,95.625,0.420,-
'[16:39:31.096]',0.353,93.750,0.420,-
'[16:39:31.104]',0.353,91.875,0.420,-
'[16:39:31.112]',0.353,90.000,0.420,-
'[16:39:31.120]',0.353,88.125,0.420,-
'[16:39:31.128]',0.353,86.250,0.420,-
'[16:39:31.136]',0.353,85.312,0.420,-
'[16:39:31.144]',0.353,83.437,0.420,-
'[16:39:31.152]',0.353,81.562,0.420,-
'[16:39:31.160]',0.353,79.687,0.420,-
'[16:39:31.168]',0.353,77.812,0.420,-
'[16:39:31.176]',0.369,75.000,0.420,-
'[16:39:31.184]',0.384,72.187,0.420,-
'[16:39:31.192]',0.392,70.312,0.420,-
'[16:39:31.200]',0.408,67.500,0.420,-
'[16:39:31.208]',0.416,64.687,0.420,-
'[16:39:31.216]',0.424,62.812,0.420,-
'[16:39:31.224]',0.424,60.937,0.420,-
'[16:39:31.232]',0.408,59.062,0.420,-
'[16:39:31.240]',0.384,58.125,0.420,-
'[16:39:31.248]',0.353,57.187,0.420,-
'[16:39:31.256]',0.314,56.250,0.420,-
'[16:39:31.264]',0.282,55.312,0.420,-
'[16:39:31.272]',0.282,55.312,0.420,-
'[16:39:31.280]',0.282,55.312,0.420,-
'[16:39:31.288]',0.282,55.312,0.420,-
'[16:39:31.296]',0.290,55.312,0.420,-
'[16:39:31.304]',0.290,55.312,0.420,-
'[16:39:31.312]',0.282,55.312,0.420,-
'[16:39:31.320]',0.298,55.312,0.420,-
'[16:39:31.328]',0.400,54.375,0.420,-
'[16:39:31.336]',0.584,54.375,0.420,-
'[16:39:31.344]',0.710,54.375,0.420,-
'[16:39:31.352]',0.725,54.375,0.420,-
'[16:39:31.360]',0.678,54.375,0.420,-
'[16:39:31.368]',0.624,53.437,0.420,-
'[16:39:31.376]',0.545,53.437,0.420,-
'[16:39:31.384]',0.447,53.437,0.420,-
'[16:39:31.392]',0.369,52.500,0.420,-
'[16:39:31.400]',0.322,52.500,0.420,-
'[16:39:31.408]',0.298,51.562,0.420,-
'[16:39:31.416]',0.282,51.562,0.420,-
'[16:39:31.424]',0.282,50.625,0.420,-
'[16:39:31.432]',0.282,50.625,0.420,-
'[16:39:31.440]',0.275,49.687,0.420,-
'[16:39:31.448]',0.282,49.687,0.420,-
'[16:39:31.456]',0.282,48.750,0.420,-
'[16:39:31.464]',0.282,48.750,0.420,-
'[16:39:31.472]',0.282,47.812,0.420,-
'[16:39:31.480]',0.290,47.812,0.420,-
'[16:39:31.488]',0.290,46.875,0.420,-
'[16:39:31.496]',0.298,46.875,0.420,-
'[16:39:31.504]',0.298,45.937,0.420,-
'[16:39:31.512]',0.298,45.937,0.420,-
'[16:39:31.520]',0.298,45.000,0.420,-
'[16:39:31.528]',0.306,45.000,0.420,-
'[16:39:31.536]',0.314,44.062,0.420,-
'[16:39:31.544]',0.314,44.062,0.420,-
'[16:39:31.552]',0.314,43.125,0.420,-
'[16:39:31.560]',0.322,43.125,0.420,-
'[16:39:31.568]',0.329,45.000,0.420,-
'[16:39:31.576]',0.329,47.812,0.420,-
'[16:39:31.584]',0.329,53.437,0.420,-
'[16:39:31.592]',0.337,60.937,0.420,-
'[16:39:31.600]',0.337,71.250,0.420,-
'[16:39:31.608]',0.337,81.562,0.420,-
'[16:39:31.616]',0.353,90.937,0.420,-
'[16:39:31.624]',0.353,98.437,0.420,-
'[16:39:31.632]',0.353,104.062,0.420,-
'[16:39:31.640]',0.353,108.750,0.420,-
'[16:39:31.648]',0.353,111.562,0.420,-
'[16:39:31.656]',0.353,112.500,0.420,-
'[16:39:31.664]',0.345,111.562,0.420,-
'[16:39:31.672]',0.337,109.687,0.420,-
'[16:39:31.680]',0.337,106.875,0.420,-
'[16:39:31.688]',0.337,104.062,0.420,-
'[16:39:31.696]',0.337,101.250,0.420,-
'[16:39:31.704]',0.337,98.437,0.420,-
'[16:39:31.712]',0.337,95.625,0.420,-
'[16:39:31.720]',0.337,92.812,0.420,-
'[16:39:31.728]',0.329,90.937,0.420,-
'[16:39:31.736]',0.337,88.125,0.420,-
'[16:39:31.744]',0.337,86.250,0.420,-
'[16:39:31.752]',0.337,84.375,0.420,-
'[16:39:31.760]',0.337,82.500,0.420,-
'[16:39:31.768]',0.337,80.625,0.420,-
'[16:39:31.776]',0.329,78.750,0.420,-
'[16:39:31.784]',0.329,76.875,0.420,-
'[16:39:31.792]',0.329,75.000,0.420,-
'[16:39:31.800]',0.337,72.187,0.420,-
'[16:39:31.808]',0.345,70.312,0.420,-
'[16:39:31.816]',0.353,67.500,0.420,-
'[16:39:31.824]',0.361,65.625,0.420,-
'[16:39:31.832]',0.369,62.812,0.420,-
'[16:39:31.840]',0.376,60.937,0.420,-
'[16:39:31.848]',0.392,59.062,0.420,-
'[16:39:31.856]',0.400,57.187,0.420,-
'[16:39:31.864]',0.392,56.250,0.420,-
'[16:39:31.872]',0.369,55.312,0.420,-
'[16:39:31.880]',0.345,55.312,0.420,-
'[16:39:31.888]',0.306,54.375,0.420,-
'[16:39:31.896]',0.282,54.375,0.420,-
'[16:39:31.904]',0.267,54.375,0.420,-
'[16:39:31.912]',0.267,54.375,0.420,-
'[16:39:31.920]',0.275,54.375,0.420,-
'[16:39:31.928]',0.275,54.375,0.420,-
'[16:39:31.936]',0.275,54.375,0.420,-
'[16:39:31.944]',0.267,54.375,0.420,-
'[16:39:31.952]',0.275,54.375,0.420,-
'[16:39:31.960]',0.369,54.375,0.420,-
'[16:39:31.968]',0.537,54.375,0.420,-
'[16:39:31.976]',0.702,54.375,0.420,-
'[16:39:31.984]',0.733,54.375,0.420,-
'[16:39:31.992]',0.671,54.375,0.420,-
'[16:39:32.000]',0.616,53.437,0.420,-
'[16:39:32.008]',0.545,53.437,0.447,-
'[16:39:32.016]',0.447,52.500,0.482,-
'[16:39:32.024]',0.369,52.500,0.502,-
'[16:39:32.032]',0.314,52.500,0.514,-
'[16:39:32.040]',0.290,51.562,0.518,-
'[16:39:32.048]',0.282,50.625,0.522,-
'[16:39:32.056]',0.275,50.625,0.522,-
'[16:39:32.064]',0.267,50.625,0.522,-
'[16:39:32.072]',0.267,49.687,0.522,-
'[16:39:32.080]',0.275,49.687,0.522,-
'[16:39:32.088]',0.282,48.750,0.518,-
'[16:39:32.096]',0.282,47.812,0.518,-
'[16:39:32.104]',0.282,47.812,0.514,-
'[16:39:32.112]',0.282,46.875,0.514,-
'[16:39:32.120]',0.282,46.875,0.510,-
'[16:39:32.128]',0.290,45.937,0.510,-
'[16:39:32.136]',0.290,45.937,0.506,-
'[16:39:32.144]',0.298,45.000,0.502,-
'[16:39:32.152]',0.306,45.000,0.502,-
'[16:39:32.160]',0.314,45.000,0.498,-
'[16:39:32.168]',0.314,44.062,0.494,-
'[16:39:32.176]',0.314,44.062,0.490,-
'[16:39:32.184]',0.322,43.125,0.486,-
'[16:39:32.192]',0.322,43.125,0.486,-
'[16:39:32.200]',0.322,44.062,0.482,-
'[16:39:32.208]',0.329,46.875,0.482,-
'[16:39:32.216]',0.329,52.500,0.478,-
'[16:39:32.224]',0.337,60.937,0.478,-
'[16:39:32.232]',0.337,71.250,0.478,-
'[16:39:32.240]',0.345,81.562,0.475,-
'[16:39:32.248]',0.353,90.937,0.475,-
'[16:39:32.256]',0.353,99.375,0.471,-
'[16:39:32.264]',0.353,105.000,0.471,-
'[16:39:32.272]',0.353,109.687,0.471,-
'[16:39:32.280]',0.353,112.500,0.471,-
'[16:39:32.288]',0.353,113.437,0.467,-
'[16:39:32.296]',0.345,113.437,0.467,-
'[16:39:32.304]',0.337,111.562,0.467,-
'[16:39:32.312]',0.337,108.750,0.467,-
'[16:39:32.320]',0.337,105.937,0.463,-
'[16:39:32.328]',0.337,103.125,0.463,-
'[16:39:32.336]',0.337,100.312,0.463,-
'[16:39:32.344]',0.337,97.500,0.463,-
'[16:39:32.352]',0.337,94.687,0.463,-
'[16:39:32.360]',0.337,92.812,0.463,-
'[16:39:32.368]',0.337,90.000,0.459,-
'[16:39:32.376]',0.337,88.125,0.459,-
'[16:39:32.384]',0.337,86.250,0.459,-
'[16:39:32.392]',0.337,85.312,0.459,-
'[16:39:32.400]',0.337,83.437,0.459,-
'[16:39:32.408]',0.337,81.562,0.459,-
'[16:39:32.416]',0.337,79.687,0.455,-
'[16:39:32.424]',0.337,77.812,0.455,-
'[16:39:32.432]',0.337,75.937,0.455,-
'[16:39:32.440]',0.353,73.125,0.455,-
'[16:39:32.448]',0.361,71.250,0.455,-
'[16:39:32.456]',0.369,68.437,0.455,-
'[16:39:32.464]',0.384,65.625,0.455,-
'[16:39:32.472]',0.392,62.812,0.451,-
'[16:39:32.480]',0.408,60.937,0.451,-
'[16:39:32.488]',0.424,59.062,0.455,-
'[16:39:32.496]',0.416,58.125,0.455,-
'[16:39:32.504]',0.392,57.187,0.459,-
'[16:39:32.512]',0.369,56.250,0.459,-
'[16:39:32.520]',0.322,56.250,0.463,-
'[16:39:32.528]',0.290,55.312,0.467,-
'[16:39:32.536]',0.282,55.312,0.475,-
'[16:39:32.544]',0.282,55.312,0.478,-
'[16:39:32.552]',0.290,55.312,0.486,-
'[16:39:32.560]',0.290,55.312,0.490,-
'[16:39:32.568]',0.290,55.312,0.498,-
'[16:39:32.576]',0.282,56.250,0.506,-
'[16:39:32.584]',0.282,56.250,0.510,-
'[16:39:32.592]',0.361,56.250,0.518,-
