'Time','I','II','III','AVR','V','MCL','RESP','PLETH','ABP'
'[16:11:38.992]',-,0.550,-,0.444,0.365,-,-,0.427,-
'[16:11:39.000]',-,0.540,-,0.454,0.365,-,-,0.457,-
'[16:11:39.008]',-,0.520,-,0.476,0.359,-,-,0.485,-
'[16:11:39.016]',-,0.510,-,0.490,0.359,-,-,0.512,-
'[16:11:39.024]',-,0.515,-,0.490,0.365,-,-,0.538,-
'[16:11:39.032]',-,0.530,-,0.471,0.375,-,-,0.561,-
'[16:11:39.040]',-,0.550,-,0.449,0.380,-,-,0.581,-
'[16:11:39.048]',-,0.565,-,0.444,0.380,-,-,0.598,-
'[16:11:39.056]',-,0.580,-,0.430,0.375,-,-,0.616,-
'[16:11:39.064]',-,0.605,-,0.410,0.375,-,-,0.633,-
'[16:11:39.072]',-,0.611,-,0.400,0.371,-,-,0.651,-
'[16:11:39.080]',-,0.595,-,0.410,0.365,-,-,0.667,-
'[16:11:39.088]',-,0.575,-,0.430,0.359,-,-,0.681,-
'[16:11:39.096]',-,0.555,-,0.449,0.355,-,-,0.694,-
'[16:11:39.104]',-,0.540,-,0.454,0.349,-,-,0.705,-
'[16:11:39.112]',-,0.520,-,0.476,0.345,-,-,0.715,-
'[16:11:39.120]',-,0.490,-,0.505,0.339,-,-,0.722,-
'[16:11:39.128]',-,0.475,-,0.515,0.329,-,-,0.726,-
'[16:11:39.136]',-,0.480,-,0.510,0.329,-,-,0.728,-
'[16:11:39.144]',-,0.495,-,0.490,0.335,-,-,0.728,-
'[16:11:39.152]',-,0.510,-,0.476,0.349,-,-,0.726,-
'[16:11:39.160]',-,0.515,-,0.471,0.349,-,-,0.722,-
'[16:11:39.168]',-,0.495,-,0.490,0.345,-,-,0.717,-
'[16:11:39.176]',-,0.465,-,0.515,0.345,-,-,0.709,-
'[16:11:39.184]',-,0.455,-,0.524,0.345,-,-,0.698,-
'[16:11:39.192]',-,0.530,-,0.485,0.320,-,-,0.686,-
'[16:11:39.200]',-,0.710,-,0.376,0.275,-,-,0.673,-
'[16:11:39.208]',-,0.876,-,0.265,0.245,-,-,0.657,-
'[16:11:39.216]',-,0.780,-,0.320,0.259,-,-,0.640,-
'[16:11:39.224]',-,0.465,-,0.529,0.314,-,-,0.624,-
'[16:11:39.232]',-,0.235,-,0.680,0.404,-,-,0.607,-
'[16:11:39.240]',-,0.190,-,0.715,0.525,-,-,0.593,-
'[16:11:39.248]',-,0.220,-,0.695,0.625,-,-,0.581,-
'[16:11:39.256]',-,0.245,-,0.685,0.661,-,-,0.568,-
'[16:11:39.264]',-,0.275,-,0.665,0.616,-,-,0.556,-
'[16:11:39.272]',-,0.340,-,0.624,0.475,-,-,0.545,-
'[16:11:39.280]',-,0.415,-,0.566,0.345,-,-,0.535,-
'[16:11:39.288]',-,0.470,-,0.515,0.300,-,-,0.525,-
'[16:11:39.296]',-,0.495,-,0.490,0.294,-,-,0.515,-
'[16:11:39.304]',-,0.500,-,0.480,0.294,-,-,0.505,-
'[16:11:39.312]',-,0.505,-,0.476,0.300,-,-,0.497,-
'[16:11:39.320]',-,0.510,-,0.476,0.294,-,-,0.488,-
'[16:11:39.328]',-,0.515,-,0.466,0.290,-,-,0.479,-
'[16:11:39.336]',-,0.540,-,0.444,0.300,-,-,0.471,-
'[16:11:39.344]',-,0.560,-,0.425,0.310,-,-,0.463,-
'[16:11:39.352]',-,0.550,-,0.434,0.310,-,-,0.456,-
'[16:11:39.360]',-,0.515,-,0.471,0.300,-,-,0.447,-
'[16:11:39.368]',-,0.510,-,0.480,0.290,-,-,0.439,-
'[16:11:39.376]',-,0.525,-,0.471,0.290,-,-,0.430,-
'[16:11:39.384]',-,0.515,-,0.471,0.290,-,-,0.422,-
'[16:11:39.392]',-,0.510,-,0.476,0.290,-,-,0.414,-
'[16:11:39.400]',-,0.525,-,0.461,0.284,-,-,0.408,-
'[16:11:39.408]',-,0.535,-,0.454,0.284,-,-,0.401,-
'[16:11:39.416]',-,0.520,-,0.471,0.290,-,-,0.394,-
'[16:11:39.424]',-,0.510,-,0.476,0.290,-,-,0.387,-
'[16:11:39.432]',-,0.520,-,0.466,0.290,-,-,0.381,-
'[16:11:39.440]',-,0.535,-,0.454,0.290,-,-,0.376,-
'[16:11:39.448]',-,0.520,-,0.471,0.284,-,-,0.371,-
'[16:11:39.456]',-,0.505,-,0.480,0.278,-,-,0.367,-
'[16:11:39.464]',-,0.490,-,0.500,0.269,-,-,0.360,-
'[16:11:39.472]',-,0.470,-,0.520,0.265,-,-,0.354,-
'[16:11:39.480]',-,0.455,-,0.524,0.265,-,-,0.348,-
'[16:11:39.488]',-,0.440,-,0.529,0.259,-,-,0.342,-
'[16:11:39.496]',-,0.430,-,0.539,0.259,-,-,0.337,-
'[16:11:39.504]',-,0.425,-,0.556,0.249,-,-,0.332,-
'[16:11:39.512]',-,0.435,-,0.556,0.249,-,-,0.327,-
'[16:11:39.520]',-,0.450,-,0.539,0.259,-,-,0.324,-
'[16:11:39.528]',-,0.470,-,0.520,0.265,-,-,0.321,-
'[16:11:39.536]',-,0.470,-,0.520,0.275,-,-,0.319,-
'[16:11:39.544]',-,0.470,-,0.524,0.284,-,-,0.317,-
'[16:11:39.552]',-,0.480,-,0.515,0.294,-,-,0.315,-
'[16:11:39.560]',-,0.490,-,0.500,0.304,-,-,0.312,-
'[16:11:39.568]',-,0.505,-,0.485,0.324,-,-,0.308,-
'[16:11:39.576]',-,0.515,-,0.476,0.349,-,-,0.304,-
'[16:11:39.584]',-,0.520,-,0.471,0.365,-,-,0.300,-
'[16:11:39.592]',-,0.540,-,0.454,0.371,-,-,0.296,-
'[16:11:39.600]',-,0.565,-,0.434,0.375,-,-,0.292,-
'[16:11:39.608]',-,0.560,-,0.444,0.380,-,-,0.289,-
'[16:11:39.616]',-,0.550,-,0.449,0.384,-,-,0.287,-
'[16:11:39.624]',-,0.555,-,0.444,0.384,-,-,0.284,-
'[16:11:39.632]',-,0.560,-,0.439,0.375,-,-,0.283,-
'[16:11:39.640]',-,0.560,-,0.449,0.371,-,-,0.281,-
'[16:11:39.648]',-,0.560,-,0.444,0.371,-,-,0.281,-
'[16:11:39.656]',-,0.570,-,0.434,0.375,-,-,0.280,-
'[16:11:39.664]',-,0.560,-,0.439,0.371,-,-,0.278,-
'[16:11:39.672]',-,0.545,-,0.449,0.359,-,-,0.275,-
'[16:11:39.680]',-,0.540,-,0.454,0.355,-,-,0.273,-
'[16:11:39.688]',-,0.570,-,0.430,0.365,-,-,0.270,-
'[16:11:39.696]',-,0.580,-,0.425,0.371,-,-,0.267,-
'[16:11:39.704]',-,0.545,-,0.444,0.365,-,-,0.265,-
'[16:11:39.712]',-,0.535,-,0.454,0.359,-,-,0.263,-
'[16:11:39.720]',-,0.535,-,0.461,0.359,-,-,0.264,-
'[16:11:39.728]',-,0.535,-,0.461,0.359,-,-,0.267,-
'[16:11:39.736]',-,0.520,-,0.471,0.365,-,-,0.274,-
'[16:11:39.744]',-,0.520,-,0.480,0.355,-,-,0.283,-
'[16:11:39.752]',-,0.530,-,0.461,0.359,-,-,0.299,-
'[16:11:39.760]',-,0.545,-,0.449,0.365,-,-,0.319,-
'[16:11:39.768]',-,0.555,-,0.444,0.365,-,-,0.343,-
'[16:11:39.776]',-,0.560,-,0.444,0.365,-,-,0.371,-
'[16:11:39.784]',-,0.545,-,0.461,0.355,-,-,0.401,-
'[16:11:39.792]',-,0.540,-,0.471,0.345,-,-,0.432,-
'[16:11:39.800]',-,0.535,-,0.466,0.335,-,-,0.462,-
'[16:11:39.808]',-,0.535,-,0.461,0.335,-,-,0.492,-
'[16:11:39.816]',-,0.555,-,0.439,0.335,-,-,0.520,-
'[16:11:39.824]',-,0.560,-,0.444,0.335,-,-,0.546,-
'[16:11:39.832]',-,0.540,-,0.466,0.339,-,-,0.571,-
'[16:11:39.840]',-,0.540,-,0.476,0.355,-,-,0.591,-
'[16:11:39.848]',-,0.560,-,0.461,0.375,-,-,0.608,-
'[16:11:39.856]',-,0.600,-,0.425,0.384,-,-,0.626,-
'[16:11:39.864]',-,0.635,-,0.390,0.390,-,-,0.642,-
'[16:11:39.872]',-,0.625,-,0.386,0.371,-,-,0.660,-
'[16:11:39.880]',-,0.595,-,0.415,0.349,-,-,0.675,-
'[16:11:39.888]',-,0.575,-,0.434,0.345,-,-,0.689,-
'[16:11:39.896]',-,0.565,-,0.439,0.349,-,-,0.703,-
'[16:11:39.904]',-,0.545,-,0.454,0.345,-,-,0.715,-
'[16:11:39.912]',-,0.505,-,0.490,0.335,-,-,0.724,-
'[16:11:39.920]',-,0.475,-,0.515,0.329,-,-,0.733,-
'[16:11:39.928]',-,0.470,-,0.520,0.329,-,-,0.739,-
'[16:11:39.936]',-,0.490,-,0.490,0.329,-,-,0.742,-
'[16:11:39.944]',-,0.510,-,0.471,0.329,-,-,0.743,-
'[16:11:39.952]',-,0.515,-,0.471,0.329,-,-,0.741,-
'[16:11:39.960]',-,0.515,-,0.476,0.335,-,-,0.738,-
'[16:11:39.968]',-,0.520,-,0.476,0.339,-,-,0.732,-
'[16:11:39.976]',-,0.505,-,0.485,0.339,-,-,0.724,-
'[16:11:39.984]',-,0.490,-,0.495,0.349,-,-,0.715,-
'[16:11:39.992]',-,0.525,-,0.485,0.320,-,-,0.702,-
'[16:11:40.000]',-,0.680,-,0.400,0.259,-,-,0.687,-
'[16:11:40.008]',-,0.890,-,0.275,0.214,-,-,0.672,-
'[16:11:40.016]',-,0.926,-,0.255,0.204,-,-,0.655,-
'[16:11:40.024]',-,0.565,-,0.476,0.278,-,-,0.638,-
'[16:11:40.032]',-,0.259,-,0.670,0.371,-,-,0.624,-
'[16:11:40.040]',-,0.150,-,0.740,0.494,-,-,0.610,-
'[16:11:40.048]',-,0.180,-,0.715,0.620,-,-,0.595,-
'[16:11:40.056]',-,0.225,-,0.685,0.700,-,-,0.582,-
'[16:11:40.064]',-,0.250,-,0.675,0.706,-,-,0.569,-
'[16:11:40.072]',-,0.310,-,0.635,0.525,-,-,0.558,-
'[16:11:40.080]',-,0.389,-,0.575,0.371,-,-,0.546,-
'[16:11:40.088]',-,0.455,-,0.515,0.310,-,-,0.537,-
'[16:11:40.096]',-,0.495,-,0.476,0.304,-,-,0.526,-
'[16:11:40.104]',-,0.510,-,0.471,0.304,-,-,0.515,-
'[16:11:40.112]',-,0.515,-,0.471,0.300,-,-,0.504,-
'[16:11:40.120]',-,0.500,-,0.480,0.290,-,-,0.494,-
'[16:11:40.128]',-,0.495,-,0.485,0.284,-,-,0.483,-
'[16:11:40.136]',-,0.500,-,0.480,0.284,-,-,0.474,-
'[16:11:40.144]',-,0.500,-,0.485,0.290,-,-,0.466,-
'[16:11:40.152]',-,0.510,-,0.471,0.294,-,-,0.457,-
'[16:11:40.160]',-,0.525,-,0.461,0.294,-,-,0.446,-
'[16:11:40.168]',-,0.530,-,0.454,0.300,-,-,0.436,-
'[16:11:40.176]',-,0.520,-,0.461,0.294,-,-,0.426,-
'[16:11:40.184]',-,0.520,-,0.471,0.294,-,-,0.417,-
'[16:11:40.192]',-,0.520,-,0.471,0.294,-,-,0.409,-
'[16:11:40.200]',-,0.510,-,0.480,0.294,-,-,0.399,-
'[16:11:40.208]',-,0.500,-,0.490,0.290,-,-,0.391,-
'[16:11:40.216]',-,0.500,-,0.480,0.290,-,-,0.383,-
'[16:11:40.224]',-,0.505,-,0.476,0.290,-,-,0.375,-
'[16:11:40.232]',-,0.510,-,0.471,0.290,-,-,0.370,-
'[16:11:40.240]',-,0.515,-,0.471,0.294,-,-,0.365,-
'[16:11:40.248]',-,0.485,-,0.495,0.290,-,-,0.359,-
'[16:11:40.256]',-,0.470,-,0.510,0.284,-,-,0.353,-
'[16:11:40.264]',-,0.465,-,0.515,0.278,-,-,0.348,-
'[16:11:40.272]',-,0.450,-,0.524,0.278,-,-,0.342,-
'[16:11:40.280]',-,0.445,-,0.524,0.275,-,-,0.336,-
'[16:11:40.288]',-,0.430,-,0.529,0.269,-,-,0.331,-
'[16:11:40.296]',-,0.405,-,0.556,0.269,-,-,0.327,-
'[16:11:40.304]',-,0.400,-,0.561,0.269,-,-,0.324,-
'[16:11:40.312]',-,0.410,-,0.546,0.269,-,-,0.321,-
'[16:11:40.320]',-,0.425,-,0.534,0.278,-,-,0.318,-
'[16:11:40.328]',-,0.430,-,0.539,0.278,-,-,0.315,-
'[16:11:40.336]',-,0.410,-,0.566,0.278,-,-,0.313,-
'[16:11:40.344]',-,0.420,-,0.570,0.290,-,-,0.311,-
'[16:11:40.352]',-,0.460,-,0.529,0.310,-,-,0.309,-
'[16:11:40.360]',-,0.480,-,0.505,0.324,-,-,0.307,-
'[16:11:40.368]',-,0.500,-,0.480,0.339,-,-,0.305,-
'[16:11:40.376]',-,0.515,-,0.466,0.359,-,-,0.303,-
'[16:11:40.384]',-,0.525,-,0.461,0.371,-,-,0.300,-
'[16:11:40.392]',-,0.520,-,0.466,0.375,-,-,0.298,-
'[16:11:40.400]',-,0.515,-,0.471,0.371,-,-,0.295,-
'[16:11:40.408]',-,0.515,-,0.476,0.371,-,-,0.293,-
'[16:11:40.416]',-,0.525,-,0.471,0.375,-,-,0.291,-
'[16:11:40.424]',-,0.535,-,0.461,0.380,-,-,0.289,-
'[16:11:40.432]',-,0.550,-,0.444,0.380,-,-,0.288,-
'[16:11:40.440]',-,0.570,-,0.425,0.384,-,-,0.287,-
'[16:11:40.448]',-,0.585,-,0.415,0.390,-,-,0.286,-
'[16:11:40.456]',-,0.565,-,0.434,0.394,-,-,0.284,-
'[16:11:40.464]',-,0.535,-,0.461,0.375,-,-,0.283,-
'[16:11:40.472]',-,0.535,-,0.466,0.375,-,-,0.281,-
'[16:11:40.480]',-,0.540,-,0.466,0.375,-,-,0.279,-
'[16:11:40.488]',-,0.540,-,0.461,0.375,-,-,0.276,-
'[16:11:40.496]',-,0.545,-,0.449,0.375,-,-,0.273,-
'[16:11:40.504]',-,0.560,-,0.439,0.380,-,-,0.271,-
'[16:11:40.512]',-,0.560,-,0.434,0.390,-,-,0.269,-
'[16:11:40.520]',-,0.565,-,0.439,0.394,-,-,0.270,-
'[16:11:40.528]',-,0.580,-,0.425,0.400,-,-,0.275,-
'[16:11:40.536]',-,0.565,-,0.439,0.404,-,-,0.283,-
'[16:11:40.544]',-,0.540,-,0.461,0.384,-,-,0.293,-
'[16:11:40.552]',-,0.530,-,0.471,0.380,-,-,0.310,-
'[16:11:40.560]',-,0.520,-,0.476,0.384,-,-,0.332,-
'[16:11:40.568]',-,0.520,-,0.476,0.384,-,-,0.358,-
'[16:11:40.576]',-,0.530,-,0.461,0.384,-,-,0.386,-
'[16:11:40.584]',-,0.545,-,0.449,0.380,-,-,0.416,-
'[16:11:40.592]',-,0.550,-,0.449,0.375,-,-,0.447,-
'[16:11:40.600]',-,0.545,-,0.454,0.371,-,-,0.476,-
'[16:11:40.608]',-,0.540,-,0.461,0.365,-,-,0.504,-
'[16:11:40.616]',-,0.545,-,0.454,0.371,-,-,0.532,-
'[16:11:40.624]',-,0.555,-,0.449,0.375,-,-,0.557,-
'[16:11:40.632]',-,0.560,-,0.449,0.384,-,-,0.578,-
'[16:11:40.640]',-,0.565,-,0.454,0.390,-,-,0.595,-
'[16:11:40.648]',-,0.585,-,0.439,0.390,-,-,0.614,-
'[16:11:40.656]',-,0.605,-,0.410,0.375,-,-,0.633,-
'[16:11:40.664]',-,0.611,-,0.410,0.365,-,-,0.651,-
'[16:11:40.672]',-,0.590,-,0.415,0.349,-,-,0.668,-
'[16:11:40.680]',-,0.575,-,0.425,0.339,-,-,0.683,-
'[16:11:40.688]',-,0.545,-,0.454,0.335,-,-,0.698,-
'[16:11:40.696]',-,0.510,-,0.490,0.329,-,-,0.711,-
'[16:11:40.704]',-,0.495,-,0.505,0.329,-,-,0.722,-
'[16:11:40.712]',-,0.495,-,0.505,0.329,-,-,0.731,-
'[16:11:40.720]',-,0.490,-,0.500,0.324,-,-,0.738,-
'[16:11:40.728]',-,0.490,-,0.495,0.324,-,-,0.743,-
'[16:11:40.736]',-,0.495,-,0.485,0.320,-,-,0.744,-
'[16:11:40.744]',-,0.495,-,0.490,0.314,-,-,0.743,-
'[16:11:40.752]',-,0.495,-,0.495,0.314,-,-,0.741,-
'[16:11:40.760]',-,0.510,-,0.476,0.324,-,-,0.737,-
'[16:11:40.768]',-,0.500,-,0.480,0.329,-,-,0.730,-
'[16:11:40.776]',-,0.480,-,0.505,0.339,-,-,0.722,-
'[16:11:40.784]',-,0.520,-,0.510,0.320,-,-,0.712,-
'[16:11:40.792]',-,0.680,-,0.400,0.269,-,-,0.698,-
'[16:11:40.800]',-,0.890,-,0.265,0.233,-,-,0.683,-
'[16:11:40.808]',-,0.916,-,0.255,0.233,-,-,0.668,-
'[16:11:40.816]',-,0.505,-,0.520,0.278,-,-,0.652,-
'[16:11:40.824]',-,0.220,-,0.695,0.365,-,-,0.635,-
'[16:11:40.832]',-,0.150,-,0.740,0.500,-,-,0.621,-
'[16:11:40.840]',-,0.185,-,0.720,0.620,-,-,0.607,-
'[16:11:40.848]',-,0.225,-,0.705,0.686,-,-,0.592,-
'[16:11:40.856]',-,0.265,-,0.675,0.655,-,-,0.578,-
'[16:11:40.864]',-,0.335,-,0.624,0.506,-,-,0.564,-
'[16:11:40.872]',-,0.430,-,0.551,0.359,-,-,0.550,-
'[16:11:40.880]',-,0.505,-,0.476,0.310,-,-,0.537,-
'[16:11:40.888]',-,0.530,-,0.449,0.304,-,-,0.524,-
'[16:11:40.896]',-,0.535,-,0.454,0.300,-,-,0.512,-
'[16:11:40.904]',-,0.525,-,0.461,0.290,-,-,0.501,-
'[16:11:40.912]',-,0.525,-,0.466,0.290,-,-,0.491,-
'[16:11:40.920]',-,0.530,-,0.471,0.290,-,-,0.480,-
'[16:11:40.928]',-,0.520,-,0.476,0.290,-,-,0.470,-
'[16:11:40.936]',-,0.535,-,0.461,0.290,-,-,0.461,-
'[16:11:40.944]',-,0.555,-,0.444,0.290,-,-,0.453,-
'[16:11:40.952]',-,0.565,-,0.434,0.294,-,-,0.444,-
'[16:11:40.960]',-,0.555,-,0.444,0.290,-,-,0.435,-
'[16:11:40.968]',-,0.545,-,0.454,0.284,-,-,0.426,-
'[16:11:40.976]',-,0.540,-,0.461,0.278,-,-,0.418,-
'[16:11:40.984]',-,0.530,-,0.471,0.278,-,-,0.411,-
'[16:11:40.992]',-,0.520,-,0.480,0.269,-,-,0.403,-
'[16:11:41.000]',-,0.520,-,0.476,0.275,-,-,0.395,-
'[16:11:41.008]',-,0.535,-,0.461,0.284,-,-,0.388,-
'[16:11:41.016]',-,0.535,-,0.454,0.290,-,-,0.381,-
'[16:11:41.024]',-,0.515,-,0.471,0.284,-,-,0.374,-
'[16:11:41.032]',-,0.495,-,0.480,0.278,-,-,0.370,-
'[16:11:41.040]',-,0.480,-,0.490,0.278,-,-,0.366,-
'[16:11:41.048]',-,0.470,-,0.500,0.278,-,-,0.361,-
'[16:11:41.056]',-,0.465,-,0.505,0.278,-,-,0.356,-
'[16:11:41.064]',-,0.455,-,0.510,0.278,-,-,0.351,-
'[16:11:41.072]',-,0.425,-,0.534,0.265,-,-,0.346,-
'[16:11:41.080]',-,0.405,-,0.551,0.259,-,-,0.342,-
'[16:11:41.088]',-,0.410,-,0.556,0.259,-,-,0.338,-
'[16:11:41.096]',-,0.425,-,0.539,0.265,-,-,0.334,-
'[16:11:41.104]',-,0.430,-,0.539,0.269,-,-,0.330,-
'[16:11:41.112]',-,0.435,-,0.539,0.269,-,-,0.326,-
'[16:11:41.120]',-,0.445,-,0.534,0.265,-,-,0.324,-
'[16:11:41.128]',-,0.460,-,0.534,0.265,-,-,0.321,-
'[16:11:41.136]',-,0.470,-,0.520,0.275,-,-,0.319,-
'[16:11:41.144]',-,0.495,-,0.495,0.284,-,-,0.318,-
'[16:11:41.152]',-,0.530,-,0.471,0.310,-,-,0.317,-
'[16:11:41.160]',-,0.550,-,0.454,0.329,-,-,0.315,-
'[16:11:41.168]',-,0.535,-,0.466,0.335,-,-,0.313,-
'[16:11:41.176]',-,0.525,-,0.476,0.335,-,-,0.311,-
'[16:11:41.184]',-,0.535,-,0.471,0.345,-,-,0.309,-
'[16:11:41.192]',-,0.555,-,0.454,0.355,-,-,0.307,-
'[16:11:41.200]',-,0.560,-,0.449,0.355,-,-,0.305,-
'[16:11:41.208]',-,0.570,-,0.439,0.355,-,-,0.303,-
'[16:11:41.216]',-,0.580,-,0.430,0.355,-,-,0.301,-
'[16:11:41.224]',-,0.590,-,0.425,0.355,-,-,0.298,-
'[16:11:41.232]',-,0.600,-,0.420,0.355,-,-,0.296,-
'[16:11:41.240]',-,0.600,-,0.425,0.349,-,-,0.295,-
'[16:11:41.248]',-,0.600,-,0.425,0.349,-,-,0.293,-
'[16:11:41.256]',-,0.600,-,0.420,0.349,-,-,0.291,-
'[16:11:41.264]',-,0.600,-,0.420,0.355,-,-,0.289,-
'[16:11:41.272]',-,0.590,-,0.430,0.349,-,-,0.286,-
'[16:11:41.280]',-,0.600,-,0.415,0.349,-,-,0.283,-
'[16:11:41.288]',-,0.605,-,0.415,0.349,-,-,0.281,-
'[16:11:41.296]',-,0.590,-,0.430,0.349,-,-,0.279,-
'[16:11:41.304]',-,0.580,-,0.439,0.349,-,-,0.278,-
'[16:11:41.312]',-,0.580,-,0.434,0.349,-,-,0.279,-
'[16:11:41.320]',-,0.585,-,0.430,0.355,-,-,0.284,-
'[16:11:41.328]',-,0.600,-,0.415,0.359,-,-,0.294,-
'[16:11:41.336]',-,0.605,-,0.415,0.355,-,-,0.307,-
'[16:11:41.344]',-,0.585,-,0.430,0.355,-,-,0.323,-
'[16:11:41.352]',-,0.575,-,0.439,0.349,-,-,0.344,-
'[16:11:41.360]',-,0.555,-,0.449,0.345,-,-,0.370,-
'[16:11:41.368]',-,0.545,-,0.466,0.345,-,-,0.398,-
'[16:11:41.376]',-,0.550,-,0.454,0.349,-,-,0.427,-
'[16:11:41.384]',-,0.565,-,0.439,0.349,-,-,0.456,-
'[16:11:41.392]',-,0.570,-,0.434,0.349,-,-,0.483,-
'[16:11:41.400]',-,0.555,-,0.449,0.355,-,-,0.508,-
'[16:11:41.408]',-,0.550,-,0.454,0.349,-,-,0.531,-
'[16:11:41.416]',-,0.560,-,0.444,0.349,-,-,0.552,-
'[16:11:41.424]',-,0.565,-,0.439,0.359,-,-,0.572,-
'[16:11:41.432]',-,0.560,-,0.449,0.371,-,-,0.587,-
'[16:11:41.440]',-,0.555,-,0.454,0.375,-,-,0.599,-
'[16:11:41.448]',-,0.575,-,0.444,0.375,-,-,0.613,-
'[16:11:41.456]',-,0.605,-,0.420,0.371,-,-,0.626,-
'[16:11:41.464]',-,0.615,-,0.410,0.365,-,-,0.638,-
'[16:11:41.472]',-,0.605,-,0.420,0.349,-,-,0.650,-
'[16:11:41.480]',-,0.585,-,0.430,0.335,-,-,0.661,-
'[16:11:41.488]',-,0.570,-,0.439,0.329,-,-,0.672,-
'[16:11:41.496]',-,0.560,-,0.444,0.329,-,-,0.681,-
'[16:11:41.504]',-,0.565,-,0.434,0.335,-,-,0.690,-
'[16:11:41.512]',-,0.550,-,0.444,0.339,-,-,0.697,-
'[16:11:41.520]',-,0.515,-,0.476,0.329,-,-,0.703,-
'[16:11:41.528]',-,0.515,-,0.490,0.329,-,-,0.706,-
'[16:11:41.536]',-,0.510,-,0.490,0.329,-,-,0.707,-
'[16:11:41.544]',-,0.495,-,0.510,0.329,-,-,0.705,-
'[16:11:41.552]',-,0.505,-,0.515,0.329,-,-,0.703,-
'[16:11:41.560]',-,0.520,-,0.476,0.324,-,-,0.698,-
'[16:11:41.568]',-,0.525,-,0.476,0.324,-,-,0.691,-
'[16:11:41.576]',-,0.495,-,0.495,0.339,-,-,0.681,-
'[16:11:41.584]',-,0.480,-,0.515,0.345,-,-,0.671,-
'[16:11:41.592]',-,0.570,-,0.471,0.304,-,-,0.657,-
'[16:11:41.600]',-,0.775,-,0.340,0.265,-,-,0.642,-
'[16:11:41.608]',-,0.865,-,0.280,0.259,-,-,0.627,-
'[16:11:41.616]',-,0.645,-,0.420,0.278,-,-,0.611,-
'[16:11:41.624]',-,0.315,-,0.624,0.324,-,-,0.595,-
'[16:11:41.632]',-,0.155,-,0.730,0.416,-,-,0.582,-
'[16:11:41.640]',-,0.135,-,0.755,0.539,-,-,0.570,-
'[16:11:41.648]',-,0.169,-,0.745,0.641,-,-,0.558,-
'[16:11:41.656]',-,0.220,-,0.720,0.661,-,-,0.547,-
'[16:11:41.664]',-,0.305,-,0.651,0.561,-,-,0.537,-
'[16:11:41.672]',-,0.410,-,0.561,0.410,-,-,0.526,-
'[16:11:41.680]',-,0.475,-,0.505,0.329,-,-,0.516,-
'[16:11:41.688]',-,0.500,-,0.480,0.310,-,-,0.506,-
'[16:11:41.696]',-,0.505,-,0.480,0.304,-,-,0.497,-
'[16:11:41.704]',-,0.510,-,0.480,0.300,-,-,0.488,-
'[16:11:41.712]',-,0.505,-,0.480,0.294,-,-,0.479,-
'[16:11:41.720]',-,0.510,-,0.471,0.294,-,-,0.471,-
'[16:11:41.728]',-,0.535,-,0.444,0.304,-,-,0.463,-
'[16:11:41.736]',-,0.570,-,0.415,0.320,-,-,0.457,-
'[16:11:41.744]',-,0.585,-,0.395,0.324,-,-,0.450,-
'[16:11:41.752]',-,0.590,-,0.405,0.329,-,-,0.443,-
'[16:11:41.760]',-,0.510,-,0.471,0.300,-,-,0.437,-
'[16:11:41.768]',-,0.445,-,0.539,0.278,-,-,0.429,-
'[16:11:41.776]',-,0.435,-,0.546,0.278,-,-,0.421,-
'[16:11:41.784]',-,0.465,-,0.520,0.284,-,-,0.413,-
'[16:11:41.792]',-,0.485,-,0.500,0.290,-,-,0.406,-
'[16:11:41.800]',-,0.510,-,0.476,0.300,-,-,0.399,-
'[16:11:41.808]',-,0.520,-,0.471,0.304,-,-,0.392,-
'[16:11:41.816]',-,0.510,-,0.480,0.300,-,-,0.385,-
'[16:11:41.824]',-,0.510,-,0.476,0.294,-,-,0.378,-
'[16:11:41.832]',-,0.515,-,0.461,0.290,-,-,0.373,-
'[16:11:41.840]',-,0.520,-,0.454,0.294,-,-,0.369,-
'[16:11:41.848]',-,0.505,-,0.466,0.294,-,-,0.364,-
'[16:11:41.856]',-,0.470,-,0.500,0.284,-,-,0.358,-
'[16:11:41.864]',-,0.440,-,0.529,0.278,-,-,0.352,-
'[16:11:41.872]',-,0.435,-,0.534,0.278,-,-,0.347,-
'[16:11:41.880]',-,0.445,-,0.520,0.284,-,-,0.342,-
'[16:11:41.888]',-,0.435,-,0.529,0.275,-,-,0.337,-
'[16:11:41.896]',-,0.415,-,0.546,0.269,-,-,0.333,-
'[16:11:41.904]',-,0.425,-,0.551,0.269,-,-,0.329,-
'[16:11:41.912]',-,0.430,-,0.539,0.278,-,-,0.326,-
'[16:11:41.920]',-,0.410,-,0.561,0.275,-,-,0.324,-
'[16:11:41.928]',-,0.400,-,0.575,0.269,-,-,0.323,-
'[16:11:41.936]',-,0.415,-,0.561,0.278,-,-,0.322,-
'[16:11:41.944]',-,0.445,-,0.534,0.300,-,-,0.321,-
'[16:11:41.952]',-,0.465,-,0.520,0.320,-,-,0.319,-
'[16:11:41.960]',-,0.475,-,0.505,0.339,-,-,0.317,-
'[16:11:41.968]',-,0.495,-,0.495,0.365,-,-,0.315,-
'[16:11:41.976]',-,0.500,-,0.495,0.375,-,-,0.313,-
'[16:11:41.984]',-,0.510,-,0.485,0.380,-,-,0.310,-
'[16:11:41.992]',-,0.520,-,0.471,0.384,-,-,0.307,-
'[16:11:42.000]',-,0.530,-,0.461,0.380,-,-,0.304,-
