'Time','II','III','MCL','RESP','PLETH','ABP'
'[11:13:48.296]',0.030,0.300,0.995,0.268,2.405,104.624
'[11:13:48.304]',-0.000,0.305,0.965,0.268,2.289,102.690
'[11:13:48.312]',-0.010,0.275,0.945,0.269,2.177,100.521
'[11:13:48.320]',-0.005,0.270,0.930,0.269,2.071,98.235
'[11:13:48.328]',-0.030,0.260,0.915,0.269,1.975,95.832
'[11:13:48.336]',-0.045,0.265,0.915,0.269,1.886,93.546
'[11:13:48.344]',-0.061,0.245,0.925,0.269,1.816,91.260
'[11:13:48.352]',-0.075,0.250,0.930,0.269,1.761,89.033
'[11:13:48.360]',-0.075,0.250,0.930,0.270,1.709,86.981
'[11:13:48.368]',-0.075,0.255,0.925,0.270,1.665,85.047
'[11:13:48.376]',-0.075,0.250,0.930,0.270,1.630,83.289
'[11:13:48.384]',-0.075,0.255,0.935,0.271,1.601,81.648
'[11:13:48.392]',-0.061,0.240,0.920,0.273,1.578,80.241
'[11:13:48.400]',0.004,0.230,0.975,0.275,1.560,79.010
'[11:13:48.408]',0.220,0.405,1.095,0.277,1.545,77.779
'[11:13:48.416]',0.635,0.845,1.145,0.279,1.535,76.783
'[11:13:48.424]',1.186,1.501,1.255,0.281,1.528,75.845
'[11:13:48.432]',0.740,1.441,1.070,0.283,1.526,75.024
'[11:13:48.440]',-0.100,0.860,0.710,0.285,1.529,74.380
'[11:13:48.448]',-0.285,0.500,0.645,0.287,1.539,73.735
'[11:13:48.456]',-0.216,0.305,0.830,0.290,1.558,73.207
'[11:13:48.464]',-0.151,0.220,0.915,0.292,1.587,72.797
'[11:13:48.472]',-0.110,0.195,0.955,0.294,1.627,72.504
'[11:13:48.480]',-0.100,0.180,0.970,0.296,1.673,72.211
'[11:13:48.488]',-0.095,0.175,0.970,0.298,1.723,72.094
'[11:13:48.496]',-0.090,0.175,0.975,0.301,1.773,72.094
'[11:13:48.504]',-0.081,0.180,0.980,0.303,1.820,72.152
'[11:13:48.512]',-0.075,0.180,0.980,0.304,1.861,72.387
'[11:13:48.520]',-0.075,0.190,0.980,0.306,1.892,72.621
'[11:13:48.528]',-0.065,0.190,0.985,0.307,1.914,72.973
'[11:13:48.536]',-0.061,0.200,0.985,0.309,1.925,73.442
'[11:13:48.544]',-0.055,0.200,0.990,0.310,1.927,73.852
'[11:13:48.552]',-0.050,0.210,0.995,0.312,1.919,74.321
'[11:13:48.560]',-0.045,0.215,1.000,0.313,1.902,74.790
'[11:13:48.568]',-0.045,0.225,1.000,0.315,1.877,75.376
'[11:13:48.576]',-0.035,0.225,1.000,0.316,1.846,75.845
'[11:13:48.584]',-0.030,0.240,1.005,0.317,1.800,76.373
'[11:13:48.592]',-0.025,0.245,1.010,0.318,1.745,76.841
'[11:13:48.600]',-0.025,0.245,1.010,0.319,1.694,77.252
'[11:13:48.608]',-0.025,0.250,1.020,0.321,1.646,77.603
'[11:13:48.616]',-0.021,0.255,1.020,0.322,1.600,77.838
'[11:13:48.624]',-0.015,0.265,1.020,0.323,1.556,78.014
'[11:13:48.632]',-0.021,0.260,1.020,0.325,1.514,78.014
'[11:13:48.640]',-0.021,0.265,1.035,0.326,1.479,77.779
'[11:13:48.648]',-0.021,0.270,1.040,0.328,1.449,77.545
'[11:13:48.656]',-0.025,0.265,1.045,0.330,1.416,77.310
'[11:13:48.664]',-0.045,0.265,1.045,0.331,1.385,77.193
'[11:13:48.672]',-0.055,0.260,1.045,0.333,1.357,77.721
'[11:13:48.680]',-0.081,0.250,1.040,0.335,1.330,79.714
'[11:13:48.688]',-0.100,0.245,1.030,0.337,1.307,84.344
'[11:13:48.696]',-0.120,0.230,1.020,0.339,1.288,92.374
'[11:13:48.704]',-0.135,0.235,1.015,0.340,1.272,103.452
'[11:13:48.712]',-0.146,0.235,1.005,0.342,1.257,116.698
'[11:13:48.720]',-0.146,0.245,1.000,0.343,1.244,130.472
'[11:13:48.728]',-0.140,0.255,0.995,0.344,1.234,143.133
'[11:13:48.736]',-0.120,0.270,0.980,0.345,1.225,152.980
'[11:13:48.744]',-0.100,0.290,0.980,0.347,1.219,159.251
'[11:13:48.752]',-0.075,0.310,0.975,0.348,1.216,161.361
'[11:13:48.760]',-0.061,0.310,0.970,0.350,1.214,159.603
'[11:13:48.768]',-0.041,0.320,0.975,0.351,1.213,154.855
'[11:13:48.776]',-0.025,0.310,0.975,0.352,1.214,148.115
'[11:13:48.784]',-0.015,0.305,0.970,0.353,1.218,140.319
'[11:13:48.792]',-0.005,0.295,0.965,0.353,1.225,132.289
'[11:13:48.800]',-0.000,0.295,0.965,0.354,1.234,124.494
'[11:13:48.808]',-0.000,0.285,0.965,0.354,1.244,117.109
'[11:13:48.816]',-0.000,0.280,0.960,0.355,1.257,110.427
'[11:13:48.824]',-0.005,0.270,0.950,0.355,1.270,104.565
'[11:13:48.832]',-0.005,0.270,0.950,0.355,1.283,99.407
'[11:13:48.840]',-0.005,0.270,0.950,0.355,1.298,95.187
'[11:13:48.848]',-0.000,0.270,0.950,0.356,1.313,91.671
'[11:13:48.856]',-0.005,0.270,0.950,0.356,1.327,88.916
'[11:13:48.864]',-0.010,0.270,0.950,0.356,1.342,86.806
'[11:13:48.872]',-0.015,0.270,0.950,0.357,1.357,85.282
'[11:13:48.880]',-0.021,0.265,0.950,0.358,1.369,84.227
'[11:13:48.888]',-0.025,0.270,0.950,0.359,1.376,83.465
'[11:13:48.896]',-0.030,0.260,0.945,0.360,1.380,82.937
'[11:13:48.904]',-0.041,0.260,0.945,0.360,1.380,82.527
'[11:13:48.912]',-0.045,0.255,0.950,0.361,1.376,82.175
'[11:13:48.920]',-0.050,0.255,0.950,0.361,1.373,81.882
'[11:13:48.928]',-0.050,0.255,0.950,0.362,1.375,81.824
'[11:13:48.936]',-0.055,0.255,0.950,0.363,1.387,82.175
'[11:13:48.944]',-0.050,0.255,0.945,0.364,1.420,83.054
'[11:13:48.952]',-0.055,0.255,0.945,0.365,1.491,84.520
'[11:13:48.960]',-0.050,0.255,0.945,0.366,1.609,86.630
'[11:13:48.968]',-0.055,0.260,0.945,0.366,1.775,89.209
'[11:13:48.976]',-0.050,0.255,0.945,0.365,1.981,92.257
'[11:13:48.984]',-0.055,0.255,0.950,0.365,2.207,95.422
'[11:13:48.992]',-0.050,0.255,0.945,0.365,2.427,98.645
'[11:13:49.000]',-0.050,0.260,0.950,0.364,2.616,101.811
'[11:13:49.008]',-0.050,0.265,0.950,0.364,2.756,104.624
'[11:13:49.016]',-0.050,0.260,0.950,0.363,2.838,106.968
'[11:13:49.024]',-0.050,0.260,0.950,0.362,2.863,108.727
'[11:13:49.032]',-0.050,0.265,0.950,0.360,2.838,109.782
'[11:13:49.040]',-0.035,0.270,0.955,0.358,2.783,110.134
'[11:13:49.048]',-0.005,0.285,0.975,0.355,2.708,109.782
'[11:13:49.056]',0.020,0.300,1.000,0.352,2.608,108.727
'[11:13:49.064]',0.024,0.305,1.010,0.349,2.494,107.086
'[11:13:49.072]',0.035,0.310,1.010,0.346,2.373,105.034
'[11:13:49.080]',0.040,0.320,1.020,0.342,2.253,102.690
'[11:13:49.088]',-0.000,0.305,0.980,0.338,2.136,100.169
'[11:13:49.096]',-0.000,0.290,0.960,0.333,2.024,97.532
'[11:13:49.104]',-0.015,0.275,0.935,0.329,1.922,94.894
'[11:13:49.112]',-0.025,0.270,0.930,0.324,1.828,92.374
'[11:13:49.120]',-0.035,0.275,0.940,0.319,1.745,89.912
'[11:13:49.128]',-0.050,0.265,0.945,0.315,1.674,87.685
'[11:13:49.136]',-0.061,0.270,0.940,0.311,1.621,85.633
'[11:13:49.144]',-0.061,0.265,0.940,0.307,1.580,83.816
'[11:13:49.152]',-0.061,0.265,0.940,0.303,1.543,82.117
'[11:13:49.160]',-0.061,0.265,0.945,0.299,1.510,80.651
'[11:13:49.168]',-0.061,0.265,0.935,0.296,1.483,79.362
'[11:13:49.176]',-0.041,0.240,0.925,0.292,1.461,78.248
'[11:13:49.184]',0.090,0.315,1.030,0.290,1.446,77.252
'[11:13:49.192]',0.375,0.590,1.115,0.287,1.435,76.431
'[11:13:49.200]',0.885,1.166,1.110,0.285,1.432,75.669
'[11:13:49.208]',1.140,1.501,1.200,0.283,1.439,75.024
'[11:13:49.216]',0.235,1.146,0.825,0.281,1.456,74.556
'[11:13:49.224]',-0.265,0.650,0.645,0.280,1.483,74.145
'[11:13:49.232]',-0.291,0.405,0.785,0.279,1.521,73.852
'[11:13:49.240]',-0.180,0.255,0.900,0.277,1.561,73.618
'[11:13:49.248]',-0.115,0.210,0.960,0.276,1.604,73.501
'[11:13:49.256]',-0.095,0.195,0.980,0.275,1.658,73.501
'[11:13:49.264]',-0.095,0.185,0.990,0.275,1.714,73.501
'[11:13:49.272]',-0.081,0.180,0.990,0.274,1.766,73.618
'[11:13:49.280]',-0.075,0.175,0.990,0.273,1.814,73.794
'[11:13:49.288]',-0.075,0.180,0.995,0.273,1.852,74.087
'[11:13:49.296]',-0.075,0.180,0.995,0.272,1.878,74.497
'[11:13:49.304]',-0.065,0.190,1.000,0.272,1.891,74.849
'[11:13:49.312]',-0.061,0.195,1.005,0.271,1.891,75.318
'[11:13:49.320]',-0.050,0.200,1.000,0.271,1.880,75.786
'[11:13:49.328]',-0.050,0.200,1.005,0.271,1.856,76.314
'[11:13:49.336]',-0.050,0.210,1.010,0.270,1.829,76.724
'[11:13:49.344]',-0.050,0.215,1.015,0.270,1.798,77.252
'[11:13:49.352]',-0.041,0.225,1.020,0.270,1.758,77.662
'[11:13:49.360]',-0.025,0.225,1.020,0.270,1.712,78.131
'[11:13:49.368]',-0.025,0.240,1.030,0.269,1.663,78.424
'[11:13:49.376]',-0.025,0.240,1.030,0.269,1.613,78.658
'[11:13:49.384]',-0.021,0.245,1.035,0.269,1.562,78.834
'[11:13:49.392]',-0.015,0.250,1.040,0.269,1.512,78.893
'[11:13:49.400]',-0.010,0.260,1.045,0.269,1.464,78.893
'[11:13:49.408]',-0.010,0.265,1.045,0.268,1.418,78.717
'[11:13:49.416]',-0.015,0.260,1.055,0.267,1.376,78.424
'[11:13:49.424]',-0.025,0.265,1.055,0.266,1.337,77.897
'[11:13:49.432]',-0.025,0.270,1.060,0.265,1.301,77.428
'[11:13:49.440]',-0.035,0.270,1.065,0.264,1.275,76.900
'[11:13:49.448]',-0.050,0.265,1.070,0.262,1.253,76.959
'[11:13:49.456]',-0.070,0.260,1.070,0.261,1.231,78.307
'[11:13:49.464]',-0.090,0.250,1.065,0.259,1.210,82.058
'[11:13:49.472]',-0.106,0.245,1.055,0.258,1.192,88.974
'[11:13:49.480]',-0.120,0.245,1.050,0.257,1.176,99.173
'[11:13:49.488]',-0.135,0.245,1.045,0.255,1.163,111.775
'[11:13:49.496]',-0.146,0.245,1.035,0.254,1.153,125.549
'[11:13:49.504]',-0.146,0.255,1.025,0.253,1.147,138.737
'[11:13:49.512]',-0.126,0.275,1.020,0.251,1.143,149.756
'[11:13:49.520]',-0.110,0.300,1.010,0.249,1.142,157.376
'[11:13:49.528]',-0.086,0.315,1.000,0.247,1.143,161.068
'[11:13:49.536]',-0.065,0.320,0.995,0.245,1.147,160.775
'[11:13:49.544]',-0.050,0.320,0.990,0.243,1.152,157.258
'[11:13:49.552]',-0.035,0.320,0.990,0.241,1.157,151.338
'[11:13:49.560]',-0.025,0.305,0.980,0.240,1.165,144.129
'[11:13:49.568]',-0.021,0.295,0.980,0.238,1.173,136.392
'[11:13:49.576]',-0.015,0.280,0.975,0.237,1.183,128.655
'[11:13:49.584]',-0.015,0.275,0.970,0.236,1.194,121.387
'[11:13:49.592]',-0.015,0.265,0.970,0.234,1.204,114.647
'[11:13:49.600]',-0.021,0.260,0.965,0.233,1.215,108.785
'[11:13:49.608]',-0.021,0.250,0.965,0.233,1.227,103.628
'[11:13:49.616]',-0.025,0.255,0.960,0.233,1.239,99.290
'[11:13:49.624]',-0.030,0.245,0.955,0.233,1.253,95.715
'[11:13:49.632]',-0.035,0.245,0.955,0.233,1.266,92.901
'[11:13:49.640]',-0.030,0.250,0.960,0.234,1.277,90.850
'[11:13:49.648]',-0.041,0.245,0.955,0.234,1.286,89.326
'[11:13:49.656]',-0.045,0.245,0.955,0.234,1.293,88.271
'[11:13:49.664]',-0.050,0.240,0.955,0.236,1.299,87.626
'[11:13:49.672]',-0.061,0.245,0.950,0.237,1.301,87.099
'[11:13:49.680]',-0.065,0.230,0.945,0.239,1.298,86.747
'[11:13:49.688]',-0.065,0.230,0.945,0.241,1.290,86.395
'[11:13:49.696]',-0.065,0.225,0.945,0.243,1.280,86.044
'[11:13:49.704]',-0.070,0.230,0.945,0.245,1.273,85.692
'[11:13:49.712]',-0.070,0.225,0.940,0.247,1.280,85.575
'[11:13:49.720]',-0.075,0.230,0.935,0.250,1.313,85.751
'[11:13:49.728]',-0.070,0.225,0.945,0.252,1.388,86.395
'[11:13:49.736]',-0.070,0.225,0.935,0.254,1.487,87.685
'[11:13:49.744]',-0.075,0.225,0.935,0.256,1.617,89.443
'[11:13:49.752]',-0.075,0.225,0.940,0.258,1.801,91.612
'[11:13:49.760]',-0.070,0.225,0.935,0.260,2.020,94.191
'[11:13:49.768]',-0.070,0.225,0.935,0.262,2.247,96.887
'[11:13:49.776]',-0.075,0.225,0.940,0.263,2.457,99.525
'[11:13:49.784]',-0.070,0.230,0.935,0.265,2.627,102.104
'[11:13:49.792]',-0.065,0.225,0.940,0.266,2.741,104.272
'[11:13:49.800]',-0.065,0.230,0.940,0.267,2.797,106.031
'[11:13:49.808]',-0.055,0.235,0.940,0.267,2.798,107.262
'[11:13:49.816]',-0.035,0.230,0.950,0.268,2.755,107.789
'[11:13:49.824]',-0.005,0.245,0.975,0.268,2.679,107.730
'[11:13:49.832]',0.010,0.260,0.990,0.268,2.582,107.027
'[11:13:49.840]',0.020,0.265,0.995,0.267,2.483,105.855
'[11:13:49.848]',0.030,0.275,1.000,0.267,2.384,104.155
'[11:13:49.856]',0.004,0.285,1.005,0.266,2.275,102.162
'[11:13:49.864]',-0.015,0.260,0.955,0.265,2.164,99.994
'[11:13:49.872]',-0.021,0.245,0.940,0.263,2.058,97.590
'[11:13:49.880]',-0.041,0.245,0.920,0.262,1.957,95.305
'[11:13:49.888]',-0.045,0.245,0.925,0.260,1.867,92.960
'[11:13:49.896]',-0.061,0.245,0.925,0.259,1.788,90.733
'[11:13:49.904]',-0.075,0.230,0.930,0.257,1.721,88.681
'[11:13:49.912]',-0.086,0.230,0.925,0.255,1.666,86.688
'[11:13:49.920]',-0.081,0.235,0.930,0.253,1.621,84.930
'[11:13:49.928]',-0.086,0.230,0.930,0.251,1.585,83.289
'[11:13:49.936]',-0.081,0.240,0.940,0.249,1.558,81.941
'[11:13:49.944]',-0.075,0.230,0.930,0.247,1.539,80.593
'[11:13:49.952]',-0.050,0.215,0.925,0.246,1.520,79.479
'[11:13:49.960]',0.109,0.305,1.040,0.245,1.504,78.424
'[11:13:49.968]',0.450,0.645,1.130,0.243,1.492,77.545
'[11:13:49.976]',0.985,1.251,1.215,0.242,1.485,76.724
'[11:13:49.984]',1.180,1.501,1.270,0.241,1.484,75.962
'[11:13:49.992]',0.095,1.045,0.840,0.240,1.490,75.318
'[11:13:50.000]',-0.276,0.620,0.685,0.238,1.503,74.790
'[11:13:50.008]',-0.240,0.360,0.815,0.237,1.527,74.321
'[11:13:50.016]',-0.180,0.225,0.900,0.236,1.559,73.969
'[11:13:50.024]',-0.126,0.180,0.945,0.235,1.598,73.676
'[11:13:50.032]',-0.110,0.165,0.970,0.234,1.643,73.501
'[11:13:50.040]',-0.106,0.155,0.975,0.233,1.684,73.442
'[11:13:50.048]',-0.100,0.150,0.975,0.233,1.722,73.383
'[11:13:50.056]',-0.100,0.155,0.975,0.232,1.762,73.442
'[11:13:50.064]',-0.095,0.160,0.980,0.232,1.801,73.618
'[11:13:50.072]',-0.086,0.170,0.980,0.232,1.832,73.852
'[11:13:50.080]',-0.075,0.170,0.985,0.232,1.855,74.145
'[11:13:50.088]',-0.081,0.175,0.985,0.232,1.867,74.556
'[11:13:50.096]',-0.075,0.175,0.990,0.232,1.866,74.966
'[11:13:50.104]',-0.070,0.190,0.995,0.232,1.853,75.376
'[11:13:50.112]',-0.065,0.195,0.990,0.232,1.831,75.728
'[11:13:50.120]',-0.061,0.200,0.995,0.232,1.800,76.197
'[11:13:50.128]',-0.061,0.200,1.000,0.232,1.761,76.490
'[11:13:50.136]',-0.055,0.210,1.000,0.232,1.722,76.783
'[11:13:50.144]',-0.050,0.215,1.005,0.232,1.686,77.076
'[11:13:50.152]',-0.045,0.225,1.010,0.233,1.645,77.252
'[11:13:50.160]',-0.041,0.230,1.020,0.234,1.603,77.369
'[11:13:50.168]',-0.035,0.240,1.015,0.235,1.561,77.428
'[11:13:50.176]',-0.041,0.245,1.030,0.236,1.519,77.369
'[11:13:50.184]',-0.045,0.245,1.035,0.237,1.480,77.135
'[11:13:50.192]',-0.041,0.250,1.045,0.238,1.442,76.783
'[11:13:50.200]',-0.050,0.255,1.045,0.239,1.405,76.314
'[11:13:50.208]',-0.050,0.255,1.055,0.241,1.371,75.786
'[11:13:50.216]',-0.055,0.260,1.070,0.242,1.340,75.376
'[11:13:50.224]',-0.070,0.260,1.070,0.245,1.313,75.435
'[11:13:50.232]',-0.086,0.260,1.070,0.247,1.289,76.607
'[11:13:50.240]',-0.100,0.245,1.065,0.249,1.272,80.124
'[11:13:50.248]',-0.120,0.245,1.050,0.252,1.259,86.688
'[11:13:50.256]',-0.135,0.245,1.050,0.254,1.245,96.535
'[11:13:50.264]',-0.146,0.245,1.045,0.256,1.233,108.961
'[11:13:50.272]',-0.151,0.255,1.040,0.258,1.223,122.735
'[11:13:50.280]',-0.146,0.270,1.030,0.260,1.214,136.158
'[11:13:50.288]',-0.130,0.290,1.025,0.261,1.206,147.587
'[11:13:50.296]',-0.110,0.310,1.020,0.263,1.200,155.734
'[11:13:50.304]',-0.086,0.325,1.015,0.264,1.196,159.779
'[11:13:50.312]',-0.061,0.330,1.010,0.266,1.195,159.837
'[11:13:50.320]',-0.045,0.335,1.010,0.268,1.194,156.438
'[11:13:50.328]',-0.025,0.330,1.010,0.269,1.195,150.518
'[11:13:50.336]',-0.021,0.320,1.005,0.271,1.199,143.133
'[11:13:50.344]',-0.015,0.310,1.005,0.273,1.207,135.103
'[11:13:50.352]',-0.010,0.300,1.000,0.275,1.218,127.131
'[11:13:50.360]',-0.010,0.295,1.005,0.277,1.231,119.570
'[11:13:50.368]',-0.015,0.285,1.000,0.279,1.243,112.595
'[11:13:50.376]',-0.015,0.275,0.990,0.280,1.256,106.382
'[11:13:50.384]',-0.021,0.280,0.985,0.281,1.269,100.873
'[11:13:50.392]',-0.015,0.270,0.980,0.283,1.280,96.184
'[11:13:50.400]',-0.021,0.270,0.975,0.285,1.290,92.374
'[11:13:50.408]',-0.025,0.270,0.975,0.287,1.301,89.326
'[11:13:50.416]',-0.025,0.265,0.975,0.289,1.311,86.981
'[11:13:50.424]',-0.030,0.265,0.975,0.292,1.321,85.282
'[11:13:50.432]',-0.035,0.260,0.975,0.294,1.330,84.109
'[11:13:50.440]',-0.041,0.265,0.975,0.297,1.338,83.347
'[11:13:50.448]',-0.050,0.260,0.965,0.299,1.344,82.879
'[11:13:50.456]',-0.050,0.255,0.970,0.301,1.344,82.527
'[11:13:50.464]',-0.050,0.255,0.965,0.304,1.337,82.234
'[11:13:50.472]',-0.055,0.250,0.965,0.306,1.326,82.058
'[11:13:50.480]',-0.050,0.260,0.965,0.309,1.315,81.882
'[11:13:50.488]',-0.050,0.255,0.970,0.311,1.316,81.941
'[11:13:50.496]',-0.055,0.255,0.965,0.313,1.342,82.351
'[11:13:50.504]',-0.055,0.255,0.965,0.315,1.408,83.406
'[11:13:50.512]',-0.055,0.260,0.960,0.316,1.522,84.989
'[11:13:50.520]',-0.050,0.265,0.960,0.318,1.688,87.099
'[11:13:50.528]',-0.055,0.260,0.965,0.319,1.895,89.736
'[11:13:50.536]',-0.050,0.265,0.970,0.321,2.093,92.667
'[11:13:50.544]',-0.050,0.260,0.970,0.323,2.280,95.773
'[11:13:50.552]',-0.055,0.265,0.965,0.324,2.479,99.056
'[11:13:50.560]',-0.050,0.260,0.970,0.325,2.653,102.104
'[11:13:50.568]',-0.055,0.265,0.965,0.327,2.782,104.858
'[11:13:50.576]',-0.050,0.265,0.965,0.328,2.855,107.203
'[11:13:50.584]',-0.045,0.270,0.970,0.329,2.871,108.844
'[11:13:50.592]',-0.025,0.275,0.985,0.329,2.837,109.841
'[11:13:50.600]',0.004,0.295,1.015,0.330,2.764,110.134
'[11:13:50.608]',0.015,0.300,1.020,0.330,2.668,109.665
'[11:13:50.616]',0.020,0.300,1.025,0.331,2.556,108.492
'[11:13:50.624]',0.030,0.320,1.030,0.331,2.437,106.793
'[11:13:50.632]',-0.000,0.310,1.005,0.332,2.319,104.683
'[11:13:50.640]',-0.010,0.295,0.980,0.332,2.205,102.221
'[11:13:50.648]',-0.021,0.280,0.965,0.332,2.095,99.700
'[11:13:50.656]',-0.035,0.270,0.950,0.332,1.991,97.063
'[11:13:50.664]',-0.050,0.270,0.945,0.332,1.895,94.425
'[11:13:50.672]',-0.061,0.260,0.945,0.332,1.809,91.905
'[11:13:50.680]',-0.075,0.255,0.950,0.332,1.734,89.560
'[11:13:50.688]',-0.075,0.260,0.950,0.332,1.671,87.275
'[11:13:50.696]',-0.081,0.255,0.950,0.332,1.619,85.223
'[11:13:50.704]',-0.075,0.260,0.950,0.332,1.580,83.406
'[11:13:50.712]',-0.070,0.265,0.950,0.332,1.550,81.824
'[11:13:50.720]',-0.075,0.245,0.940,0.333,1.528,80.358
'[11:13:50.728]',0.010,0.270,1.005,0.333,1.510,79.127
'[11:13:50.736]',0.245,0.455,1.110,0.334,1.498,78.014
'[11:13:50.744]',0.680,0.925,1.130,0.335,1.490,77.076
'[11:13:50.752]',1.175,1.501,1.210,0.335,1.485,76.255
'[11:13:50.760]',0.570,1.330,0.960,0.336,1.485,75.611
'[11:13:50.768]',-0.200,0.765,0.655,0.336,1.493,75.024
'[11:13:50.776]',-0.321,0.450,0.630,0.337,1.509,74.614
'[11:13:50.784]',-0.220,0.285,0.855,0.336,1.536,74.321
'[11:13:50.792]',-0.146,0.220,0.935,0.336,1.573,74.087
'[11:13:50.800]',-0.106,0.200,0.975,0.335,1.621,74.028
'[11:13:50.808]',-0.095,0.185,0.985,0.335,1.674,74.028
'[11:13:50.816]',-0.086,0.185,0.995,0.334,1.731,74.087
'[11:13:50.824]',-0.086,0.185,0.995,0.333,1.787,74.145
'[11:13:50.832]',-0.075,0.180,0.995,0.333,1.832,74.438
'[11:13:50.840]',-0.070,0.195,1.000,0.332,1.869,74.673
'[11:13:50.848]',-0.070,0.200,1.005,0.331,1.904,75.024
'[11:13:50.856]',-0.061,0.210,1.020,0.330,1.933,75.493
'[11:13:50.864]',-0.050,0.220,1.020,0.328,1.950,75.962
'[11:13:50.872]',-0.050,0.225,1.020,0.327,1.956,76.490
'[11:13:50.880]',-0.050,0.230,1.020,0.325,1.949,76.959
'[11:13:50.888]',-0.045,0.235,1.030,0.324,1.930,77.486
'[11:13:50.896]',-0.041,0.245,1.035,0.322,1.900,77.897
'[11:13:50.904]',-0.030,0.250,1.035,0.320,1.863,78.365
'[11:13:50.912]',-0.025,0.255,1.045,0.318,1.820,78.717
'[11:13:50.920]',-0.021,0.265,1.045,0.316,1.773,79.069
'[11:13:50.928]',-0.021,0.265,1.045,0.314,1.723,79.245
'[11:13:50.936]',-0.015,0.275,1.045,0.312,1.679,79.420
'[11:13:50.944]',-0.015,0.275,1.050,0.310,1.637,79.420
'[11:13:50.952]',-0.021,0.280,1.055,0.309,1.591,79.362
'[11:13:50.960]',-0.021,0.280,1.060,0.307,1.544,79.127
'[11:13:50.968]',-0.025,0.290,1.065,0.306,1.499,78.717
'[11:13:50.976]',-0.025,0.280,1.070,0.304,1.456,78.248
'[11:13:50.984]',-0.035,0.290,1.070,0.302,1.414,77.779
'[11:13:50.992]',-0.045,0.285,1.070,0.301,1.378,77.603
'[11:13:51.000]',-0.065,0.280,1.070,0.299,1.346,78.307
'[11:13:51.008]',-0.081,0.270,1.070,0.298,1.318,81.003
'[11:13:51.016]',-0.100,0.270,1.065,0.296,1.293,86.571
'[11:13:51.024]',-0.115,0.260,1.060,0.295,1.273,95.480
'[11:13:51.032]',-0.130,0.260,1.045,0.294,1.259,107.262
'[11:13:51.040]',-0.140,0.255,1.040,0.292,1.249,120.684
'[11:13:51.048]',-0.140,0.270,1.030,0.291,1.238,134.106
'[11:13:51.056]',-0.135,0.285,1.020,0.289,1.227,146.005
'[11:13:51.064]',-0.115,0.305,1.020,0.288,1.218,154.855
'[11:13:51.072]',-0.086,0.325,1.015,0.286,1.210,160.013
'[11:13:51.080]',-0.065,0.340,1.010,0.285,1.205,161.127
'[11:13:51.088]',-0.041,0.340,1.015,0.284,1.202,158.724
'[11:13:51.096]',-0.025,0.340,1.010,0.283,1.202,153.624
'[11:13:51.104]',-0.015,0.335,1.005,0.281,1.206,146.825
'[11:13:51.112]',-0.005,0.330,1.000,0.280,1.212,139.206
'[11:13:51.120]',-0.000,0.320,1.000,0.279,1.221,131.410
'[11:13:51.128]',-0.000,0.310,1.000,0.277,1.230,123.908
'[11:13:51.136]',-0.000,0.305,1.000,0.276,1.239,116.991
'[11:13:51.144]',-0.000,0.295,1.000,0.274,1.249,110.720
'[11:13:51.152]',-0.000,0.295,0.990,0.273,1.258,105.327
'[11:13:51.160]',-0.005,0.290,0.980,0.272,1.268,100.638
'[11:13:51.168]',-0.005,0.290,0.980,0.272,1.278,96.711
'[11:13:51.176]',-0.005,0.280,0.980,0.271,1.287,93.663
'[11:13:51.184]',-0.010,0.285,0.980,0.270,1.297,91.260
'[11:13:51.192]',-0.010,0.270,0.975,0.270,1.306,89.502
'[11:13:51.200]',-0.021,0.270,0.975,0.270,1.313,88.271
'[11:13:51.208]',-0.025,0.270,0.970,0.270,1.318,87.568
'[11:13:51.216]',-0.025,0.270,0.975,0.270,1.319,87.040
'[11:13:51.224]',-0.025,0.270,0.970,0.271,1.316,86.747
'[11:13:51.232]',-0.030,0.270,0.965,0.271,1.311,86.513
'[11:13:51.240]',-0.035,0.270,0.965,0.272,1.303,86.161
'[11:13:51.248]',-0.035,0.270,0.970,0.272,1.292,85.868
'[11:13:51.256]',-0.041,0.270,0.970,0.273,1.285,85.751
'[11:13:51.264]',-0.041,0.265,0.965,0.273,1.295,85.868
'[11:13:51.272]',-0.035,0.270,0.965,0.273,1.335,86.513
'[11:13:51.280]',-0.041,0.265,0.970,0.273,1.418,87.626
'[11:13:51.288]',-0.045,0.265,0.970,0.274,1.549,89.385
'[11:13:51.296]',-0.045,0.270,0.965,0.274,1.727,91.553
'[11:13:51.304]',-0.045,0.270,0.965,0.274,1.937,94.074
'[11:13:51.312]',-0.045,0.265,0.965,0.274,2.159,96.770
'[11:13:51.320]',-0.050,0.265,0.965,0.274,2.368,99.525
'[11:13:51.328]',-0.050,0.270,0.970,0.274,2.542,102.162
'[11:13:51.336]',-0.041,0.270,0.965,0.274,2.657,104.565
'[11:13:51.344]',-0.030,0.270,0.965,0.274,2.717,106.500
'[11:13:51.352]',-0.035,0.270,0.960,0.274,2.739,107.906
'[11:13:51.360]',-0.025,0.270,0.965,0.272,2.719,108.727
'[11:13:51.368]',-0.000,0.280,0.975,0.271,2.665,108.844
'[11:13:51.376]',0.030,0.295,1.000,0.269,2.584,108.317
'[11:13:51.384]',0.044,0.300,1.010,0.268,2.485,107.203
'[11:13:51.392]',0.050,0.295,1.015,0.265,2.375,105.620
'[11:13:51.400]',0.050,0.320,1.025,0.263,2.262,103.745
